Date,Team,Notes,Player,Injury Class
2016-11-15,Bulls,sprained left ankle (DTD),Rajon Rondo,DTD
2016-11-15,Heat,sore left wrist (DTD),Justise Winslow,DTD
2016-11-15,Jazz,sore left knee (DTD),Derrick Favors,DTD
2016-11-15,Mavericks,eye contusion (DTD),Quincy Acy,DTD
2016-11-15,Nets,returned to lineup,Isaiah Whitehead,returned to lineup
2016-11-15,Raptors,rest (DTD),DeMarre Carroll,DTD
2016-11-15,Spurs,sprained left knee (DTD),Dewayne Dedmon,DTD
2016-11-15,Timberwolves,returned to lineup,Zach LaVine,returned to lineup
2016-11-16,76ers,DNP,Joel Embiid,Other
2016-11-16,Cavaliers,rest (DTD),LeBron James,DTD
2016-11-16,Grizzlies,arthroscopic surgery on left ankle (out indefinitely),Brandan Wright,out indefinitely
2016-11-16,Hawks,bruised left quadricep (DTD),Dwight Howard,DTD
2016-11-16,Hawks,sprained left knee (DTD),Thabo Sefolosha,DTD
2016-11-16,Mavericks,returned to lineup,Deron Williams,returned to lineup
2016-11-16,Pelicans,bruised right quadriceps (DTD),Anthony Davis,DTD
2016-11-16,Pelicans,returned to lineup,E'Twaun Moore,returned to lineup
2016-11-16,Raptors,returned to lineup,DeMarre Carroll,returned to lineup
2016-11-17,Heat,returned to lineup,Goran Dragic,returned to lineup
2016-11-17,Hornets,sore/strained left Achilles (DTD),Treveon Graham,DTD
2016-11-17,Mavericks,torn calf muscle in left leg / strained left calf (out indefinitely),Jose Barea,out indefinitely
2016-11-17,Pelicans,strained left shoulder (DTD),Alexis Ajinca,DTD
2016-11-17,Wizards,returned to lineup,Bradley Beal,returned to lineup
2016-11-18,Cavaliers,returned to lineup,LeBron James,returned to lineup
2016-11-18,Hawks,returned to lineup,Dwight Howard,returned to lineup
2016-11-18,Mavericks,strained left calf (DTD),Deron Williams,DTD
2016-11-18,Pacers,sore left knee (DTD),Calvin Miles,DTD
2016-11-18,Pelicans,returned to lineup,Anthony Davis,returned to lineup
2016-11-18,Pistons,returned to lineup,Reggie Bullock,returned to lineup
2016-11-18,Suns,illness (DTD),Anthony Warren,DTD
2016-11-18,Thunder,concussion (DTD),Semaj Christon,DTD
2016-11-18,Hornets,strained left hamstring (DTD),Jeremy Lamb,DTD
2016-11-18,Lakers,ankle injury (DTD),Ivica Zubac,DTD
2016-11-19,Bulls,returned to lineup,Rajon Rondo,returned to lineup
2016-11-19,Hornets,sore shoulder (DTD),Cody Zeller,DTD
2016-11-19,Pacers,sore left knee (DTD),Calvin Miles,DTD
2016-11-19,Rockets,sore calf (DTD),Montrezl Harrell,DTD
2016-11-20,Bulls,rest (DTD),Dwyane Wade,DTD
2016-11-20,Bulls,strained lower back (DTD),Paul Zipser,DTD
2016-11-20,Heat,hyperextended right knee (DTD),Willie Reed,DTD
2016-11-20,Nuggets,returned to lineup,Darrell Arthur,returned to lineup
2016-11-20,Pacers,sore left knee (DTD),Calvin Miles,DTD
2016-11-20,Pacers,sore left knee (DTD),Kevin Seraphin,DTD
2016-11-21,Lakers,sore left knee (DTD),D'Angelo Russell,DTD
2016-11-21,Mavericks,sore right calf (DTD),Andrew Bogut,DTD
2016-11-21,Pacers,sprained right ankle (DTD),Myles Turner,DTD
2016-11-21,Pacers,returned to lineup,Kevin Seraphin,returned to lineup
2016-11-21,Raptors,recovering from arthroscopic surgery on right shoulder to repair torn labrum (DTD),Delon Wright,DTD
2016-11-21,Raptors,rest (DTD),DeMarre Carroll,DTD
2016-11-21,Rockets,returned to lineup,Montrezl Harrell,returned to lineup
2016-11-21,Spurs,sore knee / rest (DTD),William Parker,DTD
2016-11-21,Spurs,rest (DTD),LaMarcus Aldridge,DTD
2016-11-21,Hornets,sprained right ankle (DTD),Christian Wood,DTD
2016-11-22,Bulls,returned to lineup,Dwyane Wade,returned to lineup
2016-11-22,Hawks,returned to lineup,Thabo Sefolosha,returned to lineup
2016-11-22,Lakers,returned to lineup,Ivica Zubac,returned to lineup
2016-11-23,76ers,illness (DTD),Gerald Henderson,DTD
2016-11-23,76ers,illness (DTD),Richaun Holmes,DTD
2016-11-23,Grizzlies,right calf injury (DTD),James Ennis,DTD
2016-11-23,Hawks,rest (DTD),Kyle Korver,DTD
2016-11-23,Hornets,returned to lineup,Christian Wood,returned to lineup
2016-11-23,Hornets,returned to lineup,Jeremy Lamb,returned to lineup
2016-11-23,Jazz,returned to lineup,George Hill,returned to lineup
2016-11-23,Lakers,hip pointer (DTD),Julius Randle,DTD
2016-11-23,Mavericks,returned to lineup,Andrew Bogut,returned to lineup
2016-11-23,Nuggets,sore right thigh (DTD),Danilo Gallinari,DTD
2016-11-23,Pacers,illness (DTD),Joe Young,DTD
2016-11-23,Pacers,returned to lineup,Myles Turner,returned to lineup
2016-11-23,Raptors,recovering from arthroscopic surgery on right shoulder to repair torn labrum (DTD),Delon Wright,DTD
2016-11-23,Raptors,returned to lineup,DeMarre Carroll,returned to lineup
2016-11-23,Suns,head injury (DTD),Anthony Warren,DTD
2016-11-24,Nuggets,sprained right ankle (DTD),Juancho Hernangomez,DTD
2016-11-24,Pelicans,fractured fibula in right leg (out indefinitely),Dante Cunningham,out indefinitely
2016-11-25,76ers,rest (DTD),Joel Embiid,DTD
2016-11-25,76ers,returned to lineup,Gerald Henderson,returned to lineup
2016-11-25,76ers,returned to lineup,Richaun Holmes,returned to lineup
2016-11-25,Bulls,wrist injury (DTD),Michael Carter-Williams,DTD
2016-11-25,Hawks,returned to lineup,Kyle Korver,returned to lineup
2016-11-25,Heat,strained left elbow (DTD),Goran Dragic,DTD
2016-11-25,Lakers,sprained toe on left foot (DTD),Nick Young,DTD
2016-11-25,Mavericks,returned to lineup,Deron Williams,returned to lineup
2016-11-25,Nets,sore right ankle (DTD),Rondae Hollis-Jefferson,DTD
2016-11-25,Nuggets,sore/sprained right ankle (DTD),Juancho Hernangomez,DTD
2016-11-25,Pacers,sore left knee (DTD),Kevin Seraphin,DTD
2016-11-25,Pacers,sore back / left ankle (DTD),Paul George,DTD
2016-11-25,Pacers,returned to lineup,Joe Young,returned to lineup
2016-11-25,Raptors,recovering from arthroscopic surgery on right shoulder to repair torn labrum (DTD),Delon Wright,DTD
2016-11-25,Wizards,fractured right wrist (out indefinitely),Danuel House,out indefinitely
2016-11-25,Nuggets,right foot injury (DTD),Gary Harris,DTD
2016-11-26,Hornets,corneal abrasion (DTD),Nicolas Batum,DTD
2016-11-26,Warriors,bruised left ankle (DTD),Draymond Green,DTD
2016-11-27,76ers,sore left wrist (out for season),Jerryd Bayless,out for season
2016-11-27,76ers,returned to lineup,Joel Embiid,returned to lineup
2016-11-27,Cavaliers,sore/strained left hamstring (DTD),Iman Shumpert,DTD
2016-11-27,Heat,strained right groin (DTD),Dion Waiters,DTD
2016-11-27,Lakers,returned to lineup,Nick Young,returned to lineup
2016-11-27,Mavericks,sore/strained right Achilles (DTD),Dirk Nowitzki,DTD
2016-11-27,Pacers,sore left knee (DTD),Kevin Seraphin,DTD
2016-11-27,Pelicans,returned to lineup,Alexis Ajinca,returned to lineup
2016-11-27,Suns,sore left foot (DTD),Jared Dudley,DTD
2016-11-27,Nuggets,rehab of left ankle (DTD),Will Barton,DTD
2016-11-28,76ers,rest (DTD),Joel Embiid,DTD
2016-11-28,Heat,oral surgery to replace lost tooth (DTD),Tyler Johnson,DTD
2016-11-28,Heat,returned to lineup,Goran Dragic,returned to lineup
2016-11-28,Hornets,returned to lineup,Nicolas Batum,returned to lineup
2016-11-28,Warriors,returned to lineup,Draymond Green,returned to lineup
2016-11-29,Cavaliers,returned to lineup,Iman Shumpert,returned to lineup
2016-11-29,Clippers,rest (DTD),Blake Griffin,DTD
2016-11-29,Grizzlies,sore lower back (DTD),Mike Conley,DTD
2016-11-29,Grizzlies,sore right hip (DTD),Vince Carter,DTD
2016-11-29,Lakers,returned to lineup,Julius Randle,returned to lineup
2016-11-29,Nets,returned to lineup,Rondae Hollis-Jefferson,returned to lineup
2016-11-29,Pistons,sprained right ankle (DTD),Henry Ellenson,DTD
2016-11-30,Hawks,sore left hip (DTD),Paul Millsap,DTD
2016-11-30,Heat,sore/sprained right ankle (DTD),Josh Richardson,DTD
2016-11-30,Heat,returned to lineup,Tyler Johnson,returned to lineup
2016-11-30,Heat,returned to lineup,Willie Reed,returned to lineup
2016-11-30,Knicks,sprained left ankle (DTD),Courtney Lee,DTD
2016-11-30,Lakers,strained right calf (DTD),Nick Young,DTD
2016-11-30,Nuggets,illness (DTD),Darrell Arthur,DTD
2016-11-30,Nuggets,returned to lineup,Danilo Gallinari,returned to lineup
2016-11-30,Nuggets,returned to lineup,Juancho Hernangomez,returned to lineup
2016-11-30,Spurs,rest (DTD),William Parker,DTD
2016-11-30,Suns,returned to lineup,Jared Dudley,returned to lineup
2016-12-01,Clippers,returned to lineup,Blake Griffin,returned to lineup
2016-12-01,Heat,back spasms (DTD),Derrick Williams,DTD
2016-12-01,Jazz,sprained left big toe (DTD),George Hill,DTD
2016-12-01,Jazz,strained right hamstring (DTD),Rodney Hood,DTD
2016-12-01,Mavericks,rest (DTD),Andrew Bogut,DTD
2016-12-01,Mavericks,bruised/strained/sprained right knee (DTD),Seth Curry,DTD
2016-12-02,76ers,sprained left ankle (DTD),Robert Covington,DTD
2016-12-02,76ers,returned to lineup,Joel Embiid,returned to lineup
2016-12-02,Clippers,rest (DTD),Jonathan Redick,DTD
2016-12-02,Nuggets,returned to lineup,Darrell Arthur,returned to lineup
2016-12-02,Nuggets,returned to lineup,Will Barton,returned to lineup
2016-12-02,Raptors,rest (DTD),DeMarre Carroll,DTD
2016-12-03,76ers,rest (DTD),Joel Embiid,DTD
2016-12-03,76ers,sprained left knee (DTD),Robert Covington,DTD
2016-12-03,Bulls,DNP,Dwyane Wade,Other
2016-12-03,Bulls,returned to lineup,Paul Zipser,returned to lineup
2016-12-03,Heat,returned to lineup,Derrick Williams,returned to lineup
2016-12-03,Lakers,bruised/sore right knee (DTD),Larry Nance,DTD
2016-12-03,Mavericks,returned to lineup,Andrew Bogut,returned to lineup
2016-12-03,Nets,illness (DTD),Trevor Booker,DTD
2016-12-03,Raptors,returned to lineup,DeMarre Carroll,returned to lineup
2016-12-03,Jazz,returned to lineup,Rodney Hood,returned to lineup
2016-12-04,Clippers,returned to lineup,Jonathan Redick,returned to lineup
2016-12-04,Pacers,returned to lineup,Paul George,returned to lineup
2016-12-04,Pistons,returned to lineup,Reggie Jackson,returned to lineup
2016-12-05,76ers,gastroenteritis (DTD),Jahlil Okafor,DTD
2016-12-05,76ers,returned to lineup,Joel Embiid,returned to lineup
2016-12-05,Bulls,returned to lineup,Dwyane Wade,returned to lineup
2016-12-05,Cavaliers,bruised / hyperextended (CBC) left knee (DTD),Earl Smith,DTD
2016-12-05,Heat,strained rotator cuff in right shoulder (DTD),James Johnson,DTD
2016-12-05,Nets,returned to lineup,Trevor Booker,returned to lineup
2016-12-05,Pelicans,sore toe (DTD),E'Twaun Moore,DTD
2016-12-05,Pelicans,turf toe (DTD),Jrue Holiday,DTD
2016-12-05,Grizzlies,left ankle injury (DTD),Brandan Wright,DTD
2016-12-05,Nets,sore foot (DTD),Caris LeVert,DTD
2016-12-06,76ers,rest (DTD),Joel Embiid,DTD
2016-12-06,Celtics,sore/strained groin (DTD),Isaiah Thomas,DTD
2016-12-06,Heat,strained right hip flexor (DTD),Luke Babbitt,DTD
2016-12-06,Lakers,sprained right ankle (DTD),Tarik Black,DTD
2016-12-06,Mavericks,bone bruise in right knee (DTD),Andrew Bogut,DTD
2016-12-06,Spurs,rest (DTD),Emanuel Ginobili,DTD
2016-12-07,Heat,sore ankle (DTD),Rodney McGruder,DTD
2016-12-07,Jazz,strained/sore right hamstring (DTD),Rodney Hood,DTD
2016-12-07,Lakers,returned to lineup,Larry Nance,returned to lineup
2016-12-07,Nets,returned to lineup,Caris LeVert,returned to lineup
2016-12-07,Nuggets,bruised left quadricep (DTD),Jamal Murray,DTD
2016-12-08,76ers,returned to lineup,Joel Embiid,returned to lineup
2016-12-08,76ers,returned to lineup,Robert Covington,returned to lineup
2016-12-08,Jazz,left finger injury (DTD),Gordon Hayward,DTD
2016-12-09,Kings,rest (DTD),Matt Barnes,DTD
2016-12-09,Mavericks,returned to lineup,Seth Curry,returned to lineup
2016-12-09,Raptors,sore right knee (DTD),Bruno Caboclo,DTD
2016-12-09,Raptors,rest (DTD),DeMarre Carroll,DTD
2016-12-10,76ers,right elbow inflammation / rest (DTD),Joel Embiid,DTD
2016-12-10,Blazers,back injury (DTD),Al-Farouq Aminu,DTD
2016-12-10,Clippers,sore right knee (DTD),Blake Griffin,DTD
2016-12-10,Heat,returned to lineup,Josh Richardson,returned to lineup
2016-12-10,Jazz,returned to lineup,Gordon Hayward,returned to lineup
2016-12-10,Kings,returned to lineup,Matt Barnes,returned to lineup
2016-12-10,Nets,migraine headache (DTD),Justin Hamilton,DTD
2016-12-10,Nuggets,right hip injury (DTD),Wilson Chandler,DTD
2016-12-10,Pelicans,rest (DTD),Anthony Davis,DTD
2016-12-10,Warriors,bruised right wrist (DTD),Zaur Pachulia,DTD
2016-12-11,76ers,flu/gastroenteritis (DTD),Sergio Rodriguez,DTD
2016-12-11,76ers,returned to lineup,Jahlil Okafor,returned to lineup
2016-12-11,Clippers,concussion (DTD),Austin Rivers,DTD
2016-12-11,Lakers,returned to lineup,Nick Young,returned to lineup
2016-12-11,Pelicans,returned to lineup,E'Twaun Moore,returned to lineup
2016-12-11,Pelicans,returned to lineup,Jrue Holiday,returned to lineup
2016-12-12,Blazers,returned to lineup,Al-Farouq Aminu,returned to lineup
2016-12-12,Clippers,returned to lineup,Blake Griffin,returned to lineup
2016-12-12,Heat,returned to lineup,James Johnson,returned to lineup
2016-12-12,Kings,rest (DTD),Matt Barnes,DTD
2016-12-12,Nuggets,sore knee (DTD),Darrell Arthur,DTD
2016-12-12,Nuggets,returned to lineup,Wilson Chandler,returned to lineup
2016-12-12,Raptors,returned to lineup,DeMarre Carroll,returned to lineup
2016-12-12,Suns,bruised right hip (DTD),Alex Len,DTD
2016-12-13,Grizzlies,rest (DTD),Marc Gasol,DTD
2016-12-13,Grizzlies,returned to lineup,Vince Carter,returned to lineup
2016-12-13,Thunder,sprained right wrist (DTD),Victor Oladipo,DTD
2016-12-14,76ers,sprained left ankle (DTD),Nerlens Noel,DTD
2016-12-14,76ers,returned to lineup,Joel Embiid,returned to lineup
2016-12-14,76ers,returned to lineup,Sergio Rodriguez,returned to lineup
2016-12-14,Bucks,sprained left foot (DTD),Michael Beasley,DTD
2016-12-14,Cavaliers,rest (DTD),Kevin Love,DTD
2016-12-14,Cavaliers,rest (DTD),LeBron James,DTD
2016-12-14,Clippers,sprained right shoulder (DTD),Luc Moute,DTD
2016-12-14,Clippers,returned to lineup,Austin Rivers,returned to lineup
2016-12-14,Grizzlies,plantar fasciitis in left foot (DTD),Deyonta Davis,DTD
2016-12-14,Grizzlies,returned to lineup,Marc Gasol,returned to lineup
2016-12-14,Heat,returned to lineup,Justise Winslow,returned to lineup
2016-12-14,Heat,returned to lineup,Luke Babbitt,returned to lineup
2016-12-14,Jazz,returned to lineup,Rodney Hood,returned to lineup
2016-12-14,Kings,rest (DTD),DeMarcus Cousins,DTD
2016-12-14,Kings,returned to lineup,Matt Barnes,returned to lineup
2016-12-14,Knicks,back spasms (DTD),Derrick Rose,DTD
2016-12-14,Pelicans,sprained right wrist (DTD),Tim Frazier,DTD
2016-12-14,Raptors,sore right knee (DTD),Lucas Nogueira,DTD
2016-12-14,Wizards,sore left foot (DTD),Markieff Morris,DTD
2016-12-15,76ers,surgery on left wrist to repair torn ligament (out for season),Jerryd Bayless,out for season
2016-12-15,Pacers,sore/strained left hamstring (DTD),Rodney Stuckey,DTD
2016-12-16,76ers,sore right knee (DTD),Hollis Thompson,DTD
2016-12-16,76ers,returned to lineup,Nerlens Noel,returned to lineup
2016-12-16,Cavaliers,torn ACL in right knee (out for season),Chris Andersen,out for season
2016-12-16,Heat,illness (DTD),Tyler Johnson,DTD
2016-12-16,Pelicans,personal reasons (DTD),Solomon Hill,DTD
2016-12-16,Raptors,returned to lineup,Lucas Nogueira,returned to lineup
2016-12-16,Wizards,returned to lineup,Markieff Morris,returned to lineup
2016-12-17,Cavaliers,returned to lineup,Kevin Love,returned to lineup
2016-12-17,Cavaliers,returned to lineup,LeBron James,returned to lineup
2016-12-17,Heat,strained right hamstring (DTD),Wayne Ellington,DTD
2016-12-17,Hornets,returned to lineup,Kemba Walker,returned to lineup
2016-12-17,Lakers,sore right ankle (DTD),Tarik Black,DTD
2016-12-17,Nuggets,returned to lineup,Darrell Arthur,returned to lineup
2016-12-18,76ers,sore left knee (DTD),Nik Stauskas,DTD
2016-12-18,76ers,returned to lineup,Hollis Thompson,returned to lineup
2016-12-18,Clippers,returned to lineup,Luc Moute,returned to lineup
2016-12-18,Grizzlies,returned to lineup,James Ennis,returned to lineup
2016-12-18,Heat,returned to lineup,Tyler Johnson,returned to lineup
2016-12-18,Pelicans,returned to lineup,Dante Cunningham,returned to lineup
2016-12-18,Raptors,flu (DTD),Cory Joseph,DTD
2016-12-18,Wizards,strained right hamstring (DTD),Jason Smith,DTD
2016-12-18,Wizards,concussion (DTD),Kelly Oubre,DTD
2016-12-19,Cavaliers,bruised left knee (DTD),Kevin Love,DTD
2016-12-19,Clippers,arthroscopic surgery on right knee (out indefinitely) (date approximate),Blake Griffin,out indefinitely
2016-12-19,Heat,sprained left ankle (DTD),Rodney McGruder,DTD
2016-12-19,Rockets,fractured fibula in left leg (out indefinitely),Clint Capela,out indefinitely
2016-12-19,Wizards,returned to lineup,Jason Smith,returned to lineup
2016-12-19,Wizards,returned to lineup,Kelly Oubre,returned to lineup
2016-12-20,76ers,returned to lineup,Nik Stauskas,returned to lineup
2016-12-20,Blazers,sprained left ankle (DTD),Evan Turner,DTD
2016-12-20,Jazz,rehab of left knee (DTD),Derrick Favors,DTD
2016-12-20,Kings,illness (DTD),Omri Casspi,DTD
2016-12-20,Nets,sore left foot (DTD),Isaiah Whitehead,DTD
2016-12-20,Raptors,returned to lineup,Cory Joseph,returned to lineup
2016-12-21,Cavaliers,fractured right thumb (out indefinitely),Earl Smith,out indefinitely
2016-12-21,Hawks,sore groin (DTD),Tim Hardaway,DTD
2016-12-21,Jazz,patellar tendinitis in left knee (DTD),Dante Exum,DTD
2016-12-21,Jazz,flu (DTD),Rodney Hood,DTD
2016-12-21,Lakers,bone bruise in left knee (DTD),Larry Nance,DTD
2016-12-22,Lakers,bone bruise in left knee (DTD),Larry Nance,DTD
2016-12-23,76ers,bruised right knee (DTD),Nik Stauskas,DTD
2016-12-23,76ers,concussion (DTD),Richaun Holmes,DTD
2016-12-23,Cavaliers,surgery on right thumb to repair fracture (out indefinitely),Earl Smith,out indefinitely
2016-12-23,Cavaliers,recovering from surgery on right thumb to repair fracture (out indefinitely),Earl Smith,out indefinitely
2016-12-23,Cavaliers,returned to lineup,Kevin Love,returned to lineup
2016-12-23,Clippers,strained left hamstring (DTD),Chris Paul,DTD
2016-12-23,Hawks,illness (DTD),Kyle Korver,DTD
2016-12-23,Jazz,returned to lineup,Rodney Hood,returned to lineup
2016-12-23,Kings,returned to lineup,Omri Casspi,returned to lineup
2016-12-23,Magic,returned to lineup,Jodie Meeks,returned to lineup
2016-12-23,Spurs,rest (DTD),William Parker,DTD
2016-12-23,Bucks,sprained left foot (DTD),Michael Beasley,DTD
2016-12-23,Lakers,sprained right ankle (DTD),Tarik Black,DTD
2016-12-24,Hornets,sprained left ankle (DTD),Marco Belinelli,DTD
2016-12-25,Spurs,returned to lineup,William Parker,returned to lineup
2016-12-26,76ers,returned to lineup,Nik Stauskas,returned to lineup
2016-12-26,Bucks,concussion (DTD),Mirza Teletovic,DTD
2016-12-26,Bucks,illness (DTD),Steve Novak,DTD
2016-12-26,Bucks,returned to lineup,Michael Beasley,returned to lineup
2016-12-26,Cavaliers,rest (DTD),LeBron James,DTD
2016-12-26,Clippers,sore left hamstring (DTD),Jonathan Redick,DTD
2016-12-26,Hawks,returned to lineup,Kyle Korver,returned to lineup
2016-12-26,Pacers,returned to lineup,Rodney Stuckey,returned to lineup
2016-12-27,76ers,sore left hip (DTD),Gerald Henderson,DTD
2016-12-27,Grizzlies,rest (DTD),Chandler Parsons,DTD
2016-12-27,Grizzlies,left big toe injury (DTD),Mike Conley,DTD
2016-12-27,Heat,back spasms (DTD),Goran Dragic,DTD
2016-12-27,Heat,stress fracture in left foot (DTD),Josh McRoberts,DTD
2016-12-27,Heat,returned to lineup,Rodney McGruder,returned to lineup
2016-12-27,Heat,returned to lineup,Wayne Ellington,returned to lineup
2016-12-27,Knicks,sore right wrist (DTD),Courtney Lee,DTD
2016-12-27,Nets,strained left hamstring (DTD),Jeremy Lin,DTD
2016-12-27,Pacers,sore left hamstring (DTD),Rodney Stuckey,DTD
2016-12-27,Rockets,bruised left quadricep (DTD),Patrick Beverley,DTD
2016-12-28,Bucks,returned to lineup,Steve Novak,returned to lineup
2016-12-28,Clippers,returned to lineup,Chris Paul,returned to lineup
2016-12-28,Nets,hip pointer (DTD),Joe Harris,DTD
2016-12-28,Spurs,gastroenteritis (DTD),Kawhi Leonard,DTD
2016-12-28,Wizards,right ankle injury (DTD),Bradley Beal,DTD
2016-12-28,Wizards,illness (DTD),Daniel Ochefu,DTD
2016-12-29,76ers,rest (DTD),Joel Embiid,DTD
2016-12-29,Cavaliers,returned to lineup,LeBron James,returned to lineup
2016-12-29,Grizzlies,returned to lineup,Chandler Parsons,returned to lineup
2016-12-29,Heat,returned to lineup,Goran Dragic,returned to lineup
2016-12-29,Raptors,strained left knee (DTD),Patrick Patterson,DTD
2016-12-30,76ers,tightness in left hamstring (DTD),Jahlil Okafor,DTD
2016-12-30,76ers,sprained left ankle (DTD),Sergio Rodriguez,DTD
2016-12-30,Bucks,strained right hamstring (DTD),Matthew Dellavedova,DTD
2016-12-30,Bucks,returned to lineup,Mirza Teletovic,returned to lineup
2016-12-30,Celtics,illness (DTD),Avery Bradley,DTD
2016-12-30,Clippers,sore left hamstring (DTD),Chris Paul,DTD
2016-12-30,Clippers,returned to lineup,Jonathan Redick,returned to lineup
2016-12-30,Heat,back spasms (DTD),Goran Dragic,DTD
2016-12-30,Pistons,sore left knee (DTD),Marcus Morris,DTD
2016-12-30,Rockets,returned to lineup,Patrick Beverley,returned to lineup
2016-12-30,Wizards,returned to lineup,Daniel Ochefu,returned to lineup
2016-12-30,Knicks,sore right wrist (DTD),Courtney Lee,DTD
2016-12-30,Knicks,sprained right ankle (DTD),Maurice Ndour,DTD
2016-12-31,Bucks,sprained right index finger (DTD),Miles Plumlee,DTD
2016-12-31,Cavaliers,tightness in right hamstring (DTD),Kyrie Irving,DTD
2016-12-31,Cavaliers,sprained right ankle (DTD),Mike Dunleavy,DTD
2016-12-31,Grizzlies,returned to lineup,Mike Conley,returned to lineup
2016-12-31,Knicks,returned to lineup,Maurice Ndour,returned to lineup
2016-12-31,Magic,strained right calf (DTD),Damjan Rudez,DTD
2016-12-31,Rockets,sore right wrist (DTD),Patrick Beverley,DTD
2017-01-01,Heat,right eye injury (DTD),Hassan Whiteside,DTD
2017-01-01,Heat,torn labrum in right shoulder (out for season),Justise Winslow,out for season
2017-01-01,Kings,sinus fracture (DTD),Ty Lawson,DTD
2017-01-01,Pistons,sprained left ankle (DTD),Aron Baynes,DTD
2017-01-01,Pistons,returned to lineup,Marcus Morris,returned to lineup
2017-01-01,Spurs,returned to lineup,Kawhi Leonard,returned to lineup
2017-01-02,Celtics,sinus ailment (DTD),Tyler Zeller,DTD
2017-01-02,Knicks,returned to lineup,Courtney Lee,returned to lineup
2017-01-02,Magic,returned to lineup,Damjan Rudez,returned to lineup
2017-01-02,Nets,returned to lineup,Joe Harris,returned to lineup
2017-01-02,Warriors,illness (DTD),JaVale McGee,DTD
2017-01-02,Wizards,returned to lineup,Bradley Beal,returned to lineup
2017-01-03,76ers,returned to lineup,Jahlil Okafor,returned to lineup
2017-01-03,Bulls,sore/sprained left ankle (DTD),Denzel Valentine,DTD
2017-01-03,Celtics,returned to lineup,Avery Bradley,returned to lineup
2017-01-03,Heat,illness (DTD),James Johnson,DTD
2017-01-03,Heat,migraine headache (DTD),Tyler Johnson,DTD
2017-01-03,Heat,returned to lineup,Goran Dragic,returned to lineup
2017-01-03,Pelicans,arthroscopic surgery on left knee (out for season),Quincy Pondexter,out for season
2017-01-03,Pistons,left forearm injury (DTD),Michael Gbinije,DTD
2017-01-03,Suns,sprained right wrist / migraine headache (DTD),Brandon Knight,DTD
2017-01-03,Kings,strained right hip flexor (DTD),Rudy Gay,DTD
2017-01-04,Bucks,returned to lineup,Miles Plumlee,returned to lineup
2017-01-04,Cavaliers,illness (DTD),Kevin Love,DTD
2017-01-04,Cavaliers,returned to lineup,Mike Dunleavy,returned to lineup
2017-01-04,Grizzlies,fractured facial bone (DTD),JaMychal Green,DTD
2017-01-04,Heat,returned to lineup,James Johnson,returned to lineup
2017-01-04,Heat,returned to lineup,Tyler Johnson,returned to lineup
2017-01-04,Kings,returned to lineup,Ty Lawson,returned to lineup
2017-01-04,Nets,right hip tendinitis (DTD),Rondae Hollis-Jefferson,DTD
2017-01-04,76ers,returned to lineup,Richaun Holmes,returned to lineup
2017-01-05,Heat,surgery on right shoulder to repair torn labrum (out for season),Justise Winslow,out for season
2017-01-05,Lakers,right biceps tendinitis (DTD),Luol Deng,DTD
2017-01-05,Rockets,returned to lineup,Patrick Beverley,returned to lineup
2017-01-05,Suns,returned to lineup,Brandon Knight,returned to lineup
2017-01-05,Nuggets,sore lower back (DTD),Kenneth Faried,DTD
2017-01-06,76ers,returned to lineup,Gerald Henderson,returned to lineup
2017-01-06,Bucks,finger injury (DTD),Miles Plumlee,DTD
2017-01-06,Cavaliers,returned to lineup,Kevin Love,returned to lineup
2017-01-06,Cavaliers,returned to lineup,Kyrie Irving,returned to lineup
2017-01-06,Celtics,illness (DTD),Jordan Mickey,DTD
2017-01-06,Clippers,returned to lineup,Chris Paul,returned to lineup
2017-01-06,Grizzlies,returned to lineup,JaMychal Green,returned to lineup
2017-01-06,Hornets,hyperextended/strained right knee (DTD),Nicolas Batum,DTD
2017-01-06,Kings,returned to lineup,Rudy Gay,returned to lineup
2017-01-06,Lakers,returned to lineup,Luol Deng,returned to lineup
2017-01-06,Nets,returned to lineup,Rondae Hollis-Jefferson,returned to lineup
2017-01-06,Nuggets,illness (DTD),Nikola Jokic,DTD
2017-01-07,Heat,sprained left foot (DTD),Josh Richardson,DTD
2017-01-07,Nuggets,sore groin (DTD),Gary Harris,DTD
2017-01-07,Spurs,bruised left knee (DTD),David Lee,DTD
2017-01-08,76ers,returned to lineup,Sergio Rodriguez,returned to lineup
2017-01-08,Bucks,illness (DTD),Giannis Antetokounmpo,DTD
2017-01-08,Bucks,returned to lineup,Matthew Dellavedova,returned to lineup
2017-01-08,Clippers,illness (DTD),Austin Rivers,DTD
2017-01-08,Heat,flu (DTD),Luke Babbitt,DTD
2017-01-08,Heat,returned to lineup,Hassan Whiteside,returned to lineup
2017-01-08,Pistons,returned to lineup,Aron Baynes,returned to lineup
2017-01-08,Pistons,returned to lineup,Michael Gbinije,returned to lineup
2017-01-08,Raptors,returned to lineup,Patrick Patterson,returned to lineup
2017-01-09,Hornets,illness (DTD),Cody Zeller,DTD
2017-01-09,Knicks,illness (DTD),Mindaugas Kuzminskas,DTD
2017-01-09,Nets,bruised left hip (DTD),Trevor Booker,DTD
2017-01-09,Rockets,sore left big toe (DTD),Eric Gordon,DTD
2017-01-10,Bucks,returned to lineup,Giannis Antetokounmpo,returned to lineup
2017-01-10,Bucks,returned to lineup,Miles Plumlee,returned to lineup
2017-01-10,Bulls,rest (DTD),Dwyane Wade,DTD
