Date,Team,Notes,Player,Injury Class
2010-12-27,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010-12-27,Bucks,sore left foot (DNP),Drew Gooden,DNP
2010-12-27,Magic,sore left foot (DNP),Jason Williams,DNP
2010-12-27,Raptors,back spasms (DNP),Sonny Weems,DNP
2010-12-28,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010-12-28,Blazers,sprained right ankle (P) / left ankle (CBC) (DNP),Marcus Camby,DNP
2010-12-28,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2010-12-28,Magic,sore left foot (DNP),Jason Williams,DNP
2010-12-28,Magic,flu-like symptoms (DNP),Quentin Richardson,DNP
2010-12-28,Raptors,sore ankle (DNP),Jose Calderon,DNP
2010-12-28,Raptors,back spasms (DNP),Sonny Weems,DNP
2010-12-29,Cavaliers,strained left hip flexor (DNP),Maurice Williams,DNP
2010-12-29,Celtics,upper respiratory infection (DNP),Semih Erden,DNP
2010-12-29,Jazz,flu-like symptoms (DNP),Calvin Miles,DNP
2010-12-29,Nuggets,sore left knee (DNP),Kenyon Martin,DNP
2010-12-29,Nuggets,sore hamstring (DNP),Nene,DNP
2010-12-30,Jazz,flu (DNP),Calvin Miles,DNP
2010-12-30,Jazz,strained lower back (DNP),Mehmet Okur,DNP
2010-12-30,Magic,sore left foot (DNP),Jason Williams,DNP
2010-12-30,Magic,flu-like symptoms (DNP),Quentin Richardson,DNP
2010-12-30,Rockets,sprained right ankle (out indefinitely),Chuck Hayes,out indefinitely
2010-12-31,Cavaliers,fractured cheekbone (out indefinitely),Anderson Varejao,out indefinitely
2010-12-31,Hawks,bruised back (DTD),Marvin Williams,DTD
2010-12-31,Nets,bone bruise in right knee (DNP),Jordan Farmar,DNP
2010-12-31,Raptors,back spasms (DNP),Sonny Weems,DNP
2010-12-31,Warriors,strained lower back (out indefinitely),Brandan Wright,out indefinitely
2010-12-31,Celtics,sprained left ankle (DNP),Rajon Rondo,DNP
2011-01-01,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2011-01-01,Cavaliers,bruised left thigh (DNP),Daniel Gibson,DNP
2011-01-01,Cavaliers,strained left hip flexor (DNP),Maurice Williams,DNP
2011-01-01,Grizzlies,stomach virus (DNP),Rudy Gay,DNP
2011-01-01,Grizzlies,sore right knee (DNP),Xavier Henry,DNP
2011-01-01,Jazz,flu-like symptoms (DNP),Calvin Miles,DNP
2011-01-01,Mavericks,bruised thigh (DNP),Shawn Marion,DNP
2011-01-01,Nets,bone bruise in right knee (DNP),Jordan Farmar,DNP
2011-01-02,Blazers,sore left knee (DNP),Brandon Roy,DNP
