season,player,salary
2004-2005,Eddie Jones,13440000
2004-2005,Brian Grant,13346000
2004-2005,Vince Carter,13281000
2004-2005,Tim Thomas,12900000
2004-2005,Antonio Davis,12000000
2004-2005,Glenn Robinson,12000000
2004-2005,Nick Van Exel,11821000
2004-2005,Dikembe Mutombo,19684000
2004-2005,Theo Ratliff,10937000
2004-2005,Kerry Kittles,9817000
2004-2005,Jamal Mashburn,9300000
2004-2005,Maurice Taylor,8450000
2004-2005,Derek Anderson,8444000
2004-2005,Alan Henderson,8273000
2004-2005,Austin Croshere,8260000
2004-2005,Erick Dampier,8105000
2004-2005,Kelvin Cato,7992000
2004-2005,Marcus Camby,7750000
2004-2005,Allan Houston,17531000
2004-2005,Shandon Anderson,7300000
2004-2005,Lorenzen Wright,7150000
2004-2005,Jerry Stackhouse,7000000
2004-2005,Doug Christie,6875000
2004-2005,Peja Stojakovic,6875000
2004-2005,Kenyon Martin,6667000
2004-2005,Howard Eisley,6375000
2004-2005,Nazr Mohammed,6270000
2004-2005,Vitaly Potapenko,6191000
2004-2005,Christian Laettner,6078000
2004-2005,Chris Webber,17351000
2004-2005,Stromile Swift,6022000
2004-2005,Damon Stoudamire,15750000
2004-2005,Ray Allen,14625000
2004-2005,Latrell Sprewell,14625000
2004-2005,Antoine Walker,14625000
2004-2005,Stephon Marbury,14625000
2004-2005,Ben Wallace,6000000
2004-2005,Danny Fortson,5922000
2004-2005,Calvin Booth,5900000
2004-2005,Joe Smith,5899000
2004-2005,Clarence Weatherspoon,5899000
2004-2005,Kurt Thomas,5885000
2004-2005,Jahidi White,5884000
2004-2005,Cuttino Mobley,5883000
2004-2005,Scot Pollard,5792000
2004-2005,Steve Nash,5750000
2004-2005,Shawn Bradley,5714000
2004-2005,Jerome Williams,5600000
2004-2005,Corliss Williamson,5500000
2004-2005,Aaron McKie,5500000
2004-2005,Darius Miles,5419000
2004-2005,Kwame Brown,5361000
2004-2005,Bo Outlaw,5355000
2004-2005,Marcus Fizer,4915000
2004-2005,Lamond Murray,4875000
2004-2005,Eric Snow,4875000
2004-2005,Tony Battie,4800000
2004-2005,Michael Stewart,4800000
2004-2005,Mike Miller,4482000
2004-2005,Pau Gasol,4318000
2004-2005,Marc Jackson,4225000
2004-2005,Chucky Atkins,4200000
2004-2005,DerMarr Johnson,4119000
2004-2005,Chris Mihm,3785000
2004-2005,Moochie Norris,3600000
2004-2005,Jamal Crawford,3475000
2004-2005,Joel Przybilla,3215000
2004-2005,Shane Battier,3212000
2004-2005,Aaron Williams,3150000
2004-2005,Othella Harrington,3150000
2004-2005,Bobby Jackson,3150000
2004-2005,Keyon Dooling,3073000
2004-2005,Jerome Moiso,3054000
2004-2005,Etan Thomas,3043000
2004-2005,Derek Fisher,3000000
2004-2005,George Lynch,3000000
2004-2005,Troy Murphy,2232000
2004-2005,Mark Madsen,2212000
2004-2005,Michael Bradley,1985000
2004-2005,Jason Collins,1887000
2004-2005,Zach Randolph,1805000
2004-2005,Andrei Kirilenko,1672000
2004-2005,Samuel Dalembert,1600000
2004-2005,Jamaal Tinsley,1554000
2004-2005,Primoz Brezec,1554000
2004-2005,Tony Parker,1545000
2004-2005,Gerald Wallace,1377000
2004-2005,Mateen Cleaves,2969000
2004-2005,Jason Collier,2949000
2004-2005,Eddie Griffin,2937000
2004-2005,Hedo Turkoglu,2803000
2004-2005,DeSagana Diop,2695000
2004-2005,Desmond Mason,2680000
2004-2005,Quentin Richardson,2562000
2004-2005,Rodney White,2481000
2004-2005,Jamaal Magloire,2474000
2004-2005,Speedy Claxton,2390000
2004-2005,Morris Peterson,2371000
2004-2005,Donnell Harvey,2363000
2004-2005,DeShawn Stevenson,2362000
2004-2005,Joe Johnson,2358000
2004-2005,Kedrick Brown,2332000
2004-2005,Jake Tsakalidis,2322000
2004-2005,Vladimir Radmanovic,2301000
2004-2005,Mamadou N'diaye,2269000
2004-2005,Richard Jefferson,2266000
2005-2006,Shaquille O'Neal,20000000
2005-2006,Vin Baker,15750000
2005-2006,Anfernee Hardaway,15750000
2005-2006,Tracy McGrady,15694250
2005-2006,Grant Hill,15694250
2005-2006,Eddie Jones,14666250
2005-2006,Tim Thomas,13975000
2005-2006,Antonio Davis,13865000
2005-2006,Paul Pierce,13843156
2005-2006,Vince Carter,13843156
2005-2006,Baron Davis,13700000
2005-2006,Chris Webber,19125000
2005-2006,Steve Francis,13700000
2005-2006,Shawn Marion,13700000
2005-2006,Ray Allen,13223140
2005-2006,Elton Brand,13152000
2005-2006,Michael Redd,12000000
2005-2006,Joe Johnson,12000000
2005-2006,Theo Ratliff,11666666
2005-2006,Mike Bibby,11500000
2005-2006,Lamar Odom,11448596
2005-2006,Carlos Boozer,11260483
2005-2006,Kevin Garnett,18000000
2005-2006,Pau Gasol,10993000
2005-2006,Andrei Kirilenko,10983000
2005-2006,Kenyon Martin,10886364
2005-2006,Rasheed Wallace,10860000
2005-2006,Zach Randolph,10666667
2005-2006,Raef LaFrentz,10623288
2005-2006,Wally Szczerbiak,10500000
2005-2006,Larry Hughes,10344900
2005-2006,Gilbert Arenas,10243200
2005-2006,Richard Jefferson,10200000
2005-2006,Allen Iverson,16453125
2005-2006,Jamal Mashburn,10075000
2005-2006,Stephon Marbury,16453125
2005-2006,Jason Kidd,16440000
2005-2006,Jermaine O'Neal,16440000
2005-2006,Kobe Bryant,15946875
2005-2006,Tim Duncan,15845157
2005-2006,Steve Nash,9625000
2005-2006,Rashard Lewis,9571429
2005-2006,Marcus Camby,9400000
2005-2006,Maurice Taylor,9100000
2005-2006,Jason Richardson,8888888
2005-2006,Brad Miller,8750000
