Year,Name,player_height,player_weight,gp,net_rating
1996,Latrell Sprewell,195.58,86.18248,80.0,-3.3
1996,Lawrence Moten,195.58,86.18248,67.0,-10.6
1996,Lee Mayberry,185.42,81.64656,80.0,-11.0
1996,Lindsey Hunter,187.96,88.45044,82.0,5.1
1996,Lionel Simmons,200.66,95.25431999999999,41.0,-10.5
1996,Litterial Green,185.42,83.91452,45.0,17.0
1996,Lloyd Daniels,200.66,92.98636,22.0,-8.9
1996,Loren Meyer,208.28,117.93392,54.0,-6.7
1996,Lorenzen Wright,210.82,108.86208,77.0,-3.7
1996,Lorenzo Williams,205.74,104.32616,19.0,-10.9
1996,Lou Roe,200.66,99.79024,17.0,-14.4
1996,Loy Vaught,205.74,108.86208,82.0,-7.7
1996,Luc Longley,218.44,132.448864,59.0,10.4
1996,Lucious Harris,195.58,92.98636,54.0,-5.5
1996,Mahmoud Abdul-Rauf,185.42,73.481904,75.0,-4.9
1996,Malik Rose,200.66,113.398,54.0,1.3
1996,Malik Sealy,203.2,90.7184,80.0,-8.0
1996,Marcus Brown,190.5,83.91452,21.0,4.0
1996,Marcus Camby,210.82,99.79024,63.0,-1.5
1996,Mario Elie,195.58,95.25431999999999,78.0,5.6
1996,Mark Bradtke,208.28,120.20188,36.0,0.9
1996,Mark Bryant,205.74,111.13004,41.0,3.3
1996,Mark Davis,200.66,95.25431999999999,75.0,-7.4
1996,Mark Hendrickson,205.74,99.79024,29.0,-5.1
1996,Mark Jackson,190.5,83.91452,82.0,-2.0
1996,Mark Price,182.88,81.64656,70.0,-3.1
1996,Mark Strickland,208.28,99.79024,31.0,-17.1
1996,Mark West,208.28,111.583632,70.0,3.5
1996,Martin Lewis,198.12,102.0582,9.0,-3.5
1996,Martin Muursepp,205.74,106.59412,42.0,-14.5
1996,Marty Conlon,210.82,111.13004,74.0,-9.0
1996,Matt Bullard,208.28,106.59412,71.0,0.9
1996,Matt Fish,210.82,106.59412,6.0,-15.1
1996,Matt Geiger,215.9,111.13004,49.0,0.9
1996,Matt Maloney,190.5,90.7184,82.0,6.3
1996,Matt Steigenga,200.66,102.0582,2.0,-19.8
1996,Melvin Booker,187.96,83.91452,21.0,-3.8
1996,Michael Cage,205.74,112.490816,82.0,-12.0
1996,Michael Curry,195.58,95.25431999999999,81.0,6.7
1996,Michael Finley,200.66,97.52228,83.0,-6.5
1996,Michael Hawkins,182.88,80.73937600000002,29.0,-10.3
1996,Michael Jordan,198.12,97.975872,82.0,13.4
1996,Michael Smith,203.2,104.32616,81.0,-1.8
1996,Mike Brown,208.28,117.93392,6.0,1.7
1996,Mitch Richmond,195.58,97.52228,81.0,-2.0
1996,Mitchell Butler,195.58,95.25431999999999,49.0,4.6
1996,Monty Williams,203.2,102.0582,65.0,-6.3
1996,Moochie Norris,187.96,85.275296,8.0,-30.5
1996,Mookie Blaylock,185.42,83.91452,78.0,10.5
1996,Muggsy Bogues,160.02,63.956472,65.0,6.0
1996,Nate Driggers,195.58,97.52228,15.0,-24.0
1996,Nate McMillan,195.58,90.7184,37.0,14.1
1996,Nick Anderson,198.12,103.418976,63.0,3.6
1996,Nick Van Exel,185.42,83.007336,79.0,3.8
1996,Olden Polynice,213.36,113.398,82.0,-3.2
1996,Oliver Miller,205.74,140.61352,61.0,-1.0
1996,Othella Harrington,205.74,106.59412,57.0,0.4
