Age,FG%,FT%,PTS,AST,STL,BLK,TOV
23.0,0.42700000000000005,0.782,507.0,57.0,38.0,98.0,65.0
22.0,0.522,0.564,1769.0,295.0,118.0,39.0,323.0
26.0,0.5479999999999999,0.732,1098.0,104.0,105.0,15.0,179.0
26.0,0.5286666666666667,0.8406666666666668,754.0,101.33333333333333,42.0,5.333333333333333,150.0
23.0,0.503,0.7959999999999999,609.0,253.0,58.0,3.0,124.0
30.0,0.526,0.588,912.0,178.0,35.0,125.0,157.0
32.0,0.46,0.7829999999999999,805.0,121.0,43.0,7.0,75.0
24.0,0.457,0.8059999999999999,113.0,10.0,10.0,13.0,22.0
25.0,0.4,0.619,85.0,25.0,12.0,2.0,18.0
31.0,0.499,0.825,1589.0,365.0,71.0,57.0,222.0
23.0,0.562,0.732,123.0,22.0,6.0,4.0,26.0
25.0,0.47200000000000003,0.807,514.0,184.0,70.0,47.0,121.0
30.0,0.515,0.7490000000000001,1253.0,140.0,50.0,75.0,175.0
27.0,0.5233333333333333,0.6589999999999999,991.3333333333334,112.0,49.333333333333336,44.666666666666664,144.66666666666666
28.0,0.435,0.802,523.0,71.0,29.0,15.0,82.0
24.0,0.456,0.688,911.0,284.0,118.0,21.0,196.0
27.0,0.537,0.755,965.0,201.0,107.0,96.0,165.0
23.0,0.6046666666666667,0.71,52.0,34.666666666666664,10.666666666666666,1.3333333333333333,11.333333333333334
27.0,0.361,0.889,76.0,20.0,24.0,0.0,17.0
26.0,0.493,0.856,1561.0,383.0,83.0,40.0,257.0
22.0,0.45733333333333337,0.761,503.3333333333333,196.66666666666666,57.333333333333336,0.6666666666666666,102.66666666666667
28.0,0.474,0.747,725.0,151.0,39.0,157.0,156.0
30.0,0.496,0.9279999999999999,1660.0,351.0,117.0,6.0,187.0
27.0,0.47600000000000003,0.797,1623.0,348.0,98.0,25.0,259.0
23.0,0.584,0.802,1518.0,228.0,98.0,74.0,273.0
28.0,0.36,0.667,118.0,116.0,32.0,1.0,64.0
29.0,0.435,0.848,751.0,177.0,95.0,6.0,87.0
30.0,0.377,0.779,285.0,138.0,41.0,3.0,79.0
30.0,0.46,0.7490000000000001,947.0,428.0,78.0,30.0,255.0
30.0,0.4386666666666667,0.7953333333333333,832.0,249.33333333333334,76.66666666666667,16.666666666666668,140.0
22.0,0.47,0.486,240.0,78.0,23.0,36.0,65.0
30.0,0.526,0.5579999999999999,568.0,136.0,47.0,50.0,153.0
30.0,0.523,0.7979999999999999,497.0,198.0,72.0,38.0,92.0
25.0,0.43,0.826,161.0,24.0,10.0,3.0,22.0
28.0,0.457,0.8370000000000001,378.0,104.0,37.0,19.0,56.0
29.0,0.436,0.693,354.0,69.0,15.0,13.0,88.0
30.0,0.517,0.754,1380.0,255.0,61.0,46.0,171.0
25.0,0.504,0.7140000000000001,1224.0,131.0,87.0,176.0,209.0
29.0,0.493,0.5579999999999999,547.0,91.0,50.0,66.0,134.0
22.0,0.517,0.672,1018.0,128.0,32.0,143.0,197.0
22.0,0.534,0.778,175.0,49.0,10.0,14.0,53.0
30.0,0.483,0.807,1127.0,242.0,76.0,51.0,174.0
29.0,0.446,0.748,386.0,97.0,20.0,25.0,53.0
28.0,0.5329999999999999,0.873,667.0,176.0,84.0,4.0,127.0
24.0,0.512,0.753,1825.0,225.0,70.0,82.0,186.0
30.0,0.4086666666666667,0.742,86.0,46.0,10.666666666666666,8.666666666666666,34.666666666666664
24.0,0.434,0.7809999999999999,1270.0,280.0,100.0,97.0,191.0
34.0,0.433,0.843,205.0,63.0,14.0,6.0,36.0
28.0,0.495,0.769,640.0,356.0,156.0,18.0,96.0
32.0,0.42,0.857,384.0,75.0,72.0,11.0,65.0
26.0,0.507,0.809,528.0,101.0,51.0,25.0,93.0
27.0,0.499,0.8140000000000001,917.0,191.0,52.0,20.0,131.0
26.0,0.45799999999999996,0.727,458.0,57.0,34.0,26.0,102.0
28.0,0.7140000000000001,1.0,11.0,1.0,2.0,0.0,0.0
34.0,0.47100000000000003,0.838,787.0,189.0,48.0,6.0,98.0
25.0,0.43166666666666664,0.753,408.0,48.666666666666664,52.0,22.666666666666668,58.666666666666664
27.0,0.439,0.583,122.0,12.0,12.0,9.0,20.0
23.0,0.51,0.8320000000000001,1245.0,360.0,121.0,11.0,213.0
24.0,0.418,0.777,1015.0,365.0,201.0,40.0,244.0
29.0,0.531,0.6920000000000001,156.0,13.0,7.0,16.0,42.0
33.0,0.48700000000000004,0.654,1789.0,143.0,75.0,190.0,235.0
23.0,0.5086666666666667,0.6966666666666667,705.3333333333334,220.66666666666666,58.0,8.0,156.66666666666666
23.0,0.493,0.7609999999999999,843.0,216.0,58.0,15.0,141.0
23.0,0.4,0.75,69.0,6.0,11.0,1.0,14.0
27.0,0.46399999999999997,0.7829999999999999,553.0,321.0,130.0,18.0,127.0
22.0,0.42766666666666664,0.7963333333333334,176.0,34.666666666666664,14.0,4.0,36.666666666666664
30.0,0.469,0.888,1075.0,260.0,119.0,23.0,164.0
22.0,0.49,0.7759999999999999,746.0,83.0,42.0,2.0,99.0
35.0,0.449,0.853,938.0,357.0,90.0,13.0,185.0
30.0,0.441,0.6890000000000001,395.0,60.0,53.0,57.0,60.0
23.0,0.385,0.5,26.0,5.0,0.0,3.0,12.0
26.0,0.541,0.826,2365.0,219.0,137.0,91.0,286.0
26.0,0.4545,0.7394999999999999,465.5,84.5,71.5,151.0,139.0
28.0,0.474,0.665,1715.0,283.0,129.0,52.0,346.0
23.0,0.494,0.5670000000000001,377.0,106.0,98.0,18.0,95.0
23.0,0.413,0.605,85.0,19.0,8.0,10.0,20.0
24.0,0.465,0.6920000000000001,639.0,116.0,58.0,30.0,97.0
