,Year,Name,Salary%,Physical Cluster,Reg Performance Cluster,Adv Performance Cluster,PER Cluster
317,2011,Cartier Martin,0.3442491902694507,1,1,3,3
318,2011,Channing Frye,10.336985734959686,1,2,2,3
319,2011,Charlie Villanueva,12.99014540693267,1,2,2,1
320,2011,Chauncey Billups,3.4457170422438153,0,0,1,1
321,2011,Chris Andersen,7.294466266969883,1,1,0,1
322,2011,Chris Bosh,30.227069119977948,1,3,0,1
323,2011,Chris Duhon,5.599200606436495,0,1,0,0
324,2011,Chris Paul,28.185178485287018,0,0,3,2
325,2011,Christian Eyenga,1.8908414306388257,0,2,3,0
326,2011,Chuck Hayes,9.451881331403762,1,2,0,1
327,2011,Corey Brewer,5.270139893873614,0,2,0,3
328,2011,Corey Maggette,17.679810144028668,1,2,3,1
329,2011,Courtney Lee,3.833459099993109,0,2,3,3
330,2011,D.J. Augustin,5.575890703604163,0,0,2,1
331,2011,Daequan Cook,5.756939563090071,0,1,3,3
332,2011,Dahntay Jones,4.651643580731859,1,1,0,3
333,2011,Damion James,2.141616704568948,1,1,0,0
334,2011,Dan Gadzuric,0.11955240851767625,1,1,0,0
335,2011,Daniel Gibson,7.5870615395217404,0,2,1,3
336,2011,Danilo Gallinari,7.218975260147474,1,0,1,1
337,2011,Danny Granger,20.70137137344084,1,3,2,1
338,2011,Dante Cunningham,3.4456619116532283,1,2,0,3
339,2011,Darren Collison,2.5083729584453174,0,0,3,1
340,2011,David Lee,20.002067397146988,1,3,0,1
341,2011,David West,17.22830955826614,1,3,0,2
342,2011,DeAndre Jordan,17.3651092274826,1,2,0,3
343,2011,DeJuan Blair,1.8158638274412515,1,2,0,1
344,2011,DeMar DeRozan,5.761577424023155,0,0,0,3
345,2011,DeMarcus Cousins,6.6859623733719244,1,0,0,3
346,2011,DeShawn Stevenson,4.307077389566535,0,1,1,0
347,2011,Derek Fisher,4.013412238991109,0,1,3,0
348,2011,Deron Williams,28.185178485287018,0,3,1,2
349,2011,Derrick Rose,12.048976638412237,0,3,2,2
350,2011,Devin Harris,16.055061677348217,0,0,3,1
351,2011,Dirk Nowitzki,32.893792640066145,1,3,3,2
352,2011,Dominique Jones,2.0558197229687822,0,1,0,0
353,2011,Donte Greene,2.894207842326511,1,1,3,0
354,2011,Dorell Wright,6.586382744125147,0,0,2,3
355,2011,Drew Gooden,10.726690097167666,1,0,0,1
356,2011,Dwight Howard,31.169061401695267,1,3,0,2
357,2011,Dwyane Wade,27.032940527875404,0,3,1,2
358,2011,Earl Boykins,0.3798618289573427,0,1,0,1
359,2011,Earl Clark,1.9984839087588728,1,1,0,0
360,2011,Earl Watson,3.4456619116532283,0,1,3,0
361,2011,Eduardo Najera,4.737785128523188,1,1,0,0
362,2011,Elton Brand,31.287221762800637,1,0,0,1
363,2011,Emeka Okafor,21.780890359037965,1,2,0,1
364,2011,Eric Bledsoe,2.7502584246433743,0,2,3,0
365,2011,Eric Gordon,6.600482392667631,0,3,1,1
366,2011,Eric Maynor,2.612983254083109,0,1,3,3
367,2011,Erick Dampier,0.9140427951209428,1,1,0,0
368,2011,Ersan Ilyasova,4.377713458755427,1,2,3,3
369,2011,Evan Turner,9.119082075666736,0,2,0,0
370,2011,Francisco Garcia,10.509268830542348,0,2,1,3
371,2011,Gary Forbes,2.5842464337399216,1,1,0,3
372,2011,Gary Neal,1.4719678175177453,0,2,1,3
373,2011,George Hill,2.6540090276342085,0,2,1,3
374,2011,Gerald Henderson,3.8774033491833775,0,2,0,3
375,2011,Gerald Wallace,16.366894080352836,1,0,3,1
376,2011,Gilbert Arenas,0.4510871063331266,0,0,1,3
377,2011,Glen Davis,10.85383502170767,1,0,0,3
378,2011,Goran Dragic,3.631727654882503,0,2,3,3
379,2011,Gordon Hayward,4.668389497622493,0,1,0,0
380,2011,Grant Hill,11.19840121287299,1,0,3,3
381,2011,Greg Monroe,5.1821376886499895,1,2,0,1
382,2011,Greivis Vasquez,1.9185445524085176,0,1,3,0
383,2011,Hamed Haddadi,2.2396802425745985,1,1,0,1
384,2011,Hedo Turkoglu,18.978447384742612,1,2,1,3
385,2011,Henry Walker,1.5249121356212532,1,1,3,3
386,2011,Ian Mahinmi,1.5778581765557165,1,1,0,3
387,2011,Ish Smith,0.9001309351526429,0,1,0,0
388,2011,J.J. Barea,7.408173110054443,0,2,1,3
389,2011,JaVale McGee,4.242298945627455,1,2,0,1
390,2011,Jamal Crawford,8.61415477913307,0,0,2,3
391,2011,Jamario Moon,0.16542105988560402,0,1,3,0
392,2011,Jameer Nelson,14.816346220108885,0,0,1,1
393,2011,James Anderson,2.4163393287850594,0,1,0,0
