,Year,Name,Salary%,Physical Cluster,Reg Performance Cluster,Adv Performance Cluster,Pos,Tm
338,2010,Vladimir Radmanovic,11.930329289428075,1,1,2,PF,GSW
339,2010,Wayne Ellington,1.869670710571924,0,1,0,SG,MIN
340,2010,Wesley Matthews,9.991334488734834,0,2,0,SG,UTA
341,2010,Will Bynum,5.632582322357018,0,2,2,PG,DET
342,2010,Willie Green,6.890814558058926,0,2,0,SG,PHI
343,2010,Wilson Chandler,3.692343154246101,1,0,0,SG,NYK
344,2010,Yi Jianlian,7.019928942807626,1,0,2,PF,NJN
345,2010,Zach Randolph,30.61813864818024,1,3,2,PF,MEM
346,2010,Zaza Pachulia,7.36785095320624,1,1,2,C,ATL
347,2010,Zydrunas Ilgauskas,2.343467937608319,1,2,2,C,CLE
348,2011,Al Harrington,10.726690097167666,1,2,3,PF,DEN
349,2011,Al Horford,21.53277341327269,1,0,2,C,ATL
350,2011,Al-Farouq Aminu,4.747364068637585,1,1,0,SF,LAC
351,2011,Amar'e Stoudemire,31.38602611811729,1,3,2,C,NYK
352,2011,Amir Johnson,10.336985734959686,1,2,2,PF,TOR
353,2011,Anderson Varejao,13.265798359864931,1,2,2,C,CLE
354,2011,Andray Blatche,11.098620012404382,1,3,2,PF,WAS
355,2011,Andre Iguodala,25.357056715595068,0,0,0,SF,PHI
356,2011,Andre Miller,13.451395493074221,0,0,2,PG,POR
357,2011,Andrea Bargnani,17.22830955826614,1,3,1,C,TOR
358,2011,Andres Nocioni,11.456825856246985,1,1,0,SF,PHI
359,2011,Andrew Bogut,20.673971469919373,1,0,2,C,MIL
360,2011,Antawn Jamison,25.974631314175447,1,3,1,PF,CLE
361,2011,Anthony Parker,3.8763696506098815,0,2,1,SF,CLE
362,2011,Anthony Randolph,5.01555888636207,1,1,2,C-PF,TOT
363,2011,Anthony Randolph,5.01555888636207,1,1,2,PF,NYK
364,2011,Anthony Randolph,5.01555888636207,1,1,2,C,MIN
365,2011,Anthony Tolliver,3.53180345944456,1,1,0,SF,MIN
366,2011,Armon Johnson,0.18002549789814626,0,1,2,PG,POR
367,2011,Arron Afflalo,13.35193990765626,0,2,1,SG,DEN
368,2011,Austin Daye,3.3243746123630347,0,2,0,SF,DET
369,2011,Avery Bradley,2.6264213355385566,0,1,2,PG,BOS
370,2011,Ben Gordon,19.98483908758873,0,2,1,SG,DET
371,2011,Ben Uzoh,0.3282819929708497,0,1,2,PG,NJN
372,2011,Ben Wallace,3.8701674591689055,1,1,2,C,DET
373,2011,Beno Udrih,11.931293501481635,0,0,0,PG,SAC
374,2011,Blake Griffin,9.873682034318794,1,3,2,PF,LAC
375,2011,Boris Diaw,0.41547446764523466,1,2,1,PF,CHA
376,2011,Brad Miller,8.186892702088072,1,1,0,C,HOU
377,2011,Brandon Bass,7.322031562263111,1,2,2,PF,ORL
378,2011,Brandon Jennings,4.296258011163944,0,0,1,PG,MIL
379,2011,Brandon Rush,5.0938219281924075,1,2,1,SG,IND
380,2011,Brendan Haywood,13.13572462270002,1,1,2,C,DAL
381,2011,Brian Cook,2.1073082489146167,1,1,0,PF,LAC
382,2011,Brook Lopez,5.301121562952243,1,3,2,C,NJN
383,2011,C.J. Watson,5.857625249810487,0,1,0,PG,CHI
384,2011,Carl Landry,14.644063124526221,1,2,2,PF,TOT
385,2011,Carl Landry,14.644063124526221,1,2,2,PF,SAC
386,2011,Carl Landry,14.644063124526221,1,2,2,PF,NOH
387,2011,Carmelo Anthony,31.90437254496589,1,3,0,SF,TOT
388,2011,Carmelo Anthony,31.90437254496589,1,3,0,SF,DEN
389,2011,Carmelo Anthony,31.90437254496589,1,3,0,SF,NYK
390,2011,Caron Butler,13.782647646612912,1,0,2,SF,DAL
391,2011,Cartier Martin,0.3442491902694507,1,1,0,SF,WAS
392,2011,Channing Frye,10.336985734959686,1,2,3,PF,PHO
393,2011,Charlie Villanueva,12.99014540693267,1,2,3,PF,DET
394,2011,Chauncey Billups,3.4457170422438157,0,0,1,PG,TOT
395,2011,Chauncey Billups,3.4457170422438157,0,0,1,PG,DEN
396,2011,Chauncey Billups,3.4457170422438157,0,0,1,PG,NYK
397,2011,Chris Andersen,7.2944662669698825,1,1,2,C,DEN
398,2011,Chris Bosh,30.22706911997795,1,3,2,PF,MIA
399,2011,Chris Duhon,5.5992006064364945,0,1,2,PG,ORL
