Year,Team,Notes,Name,Injury Class
2015,Timberwolves,sore right ankle (DTD),Ricky Rubio,DTD
2015,76ers,returned to lineup,Luc Moute,returned to lineup
2015,Hawks,rest (DTD),Al Horford,DTD
2015,Hawks,fractured nose (DTD),Kyle Korver,DTD
2015,Hawks,returned to lineup,DeMarre Carroll,returned to lineup
2015,Hawks,returned to lineup,Jeff Teague,returned to lineup
2015,Hawks,returned to lineup,Paul Millsap,returned to lineup
2015,Nuggets,rest (DTD),Danilo Gallinari,DTD
2015,Nuggets,rest (DTD),Kenneth Faried,DTD
2015,Nuggets,rest (DTD),Ty Lawson,DTD
2015,Nuggets,returned to lineup,Darrell Arthur,returned to lineup
2015,Nuggets,returned to lineup,Wilson Chandler,returned to lineup
2015,Spurs,rib injury (DTD),Aron Baynes,DTD
2015,Spurs,sprained right ankle (DTD),Emanuel Ginobili,DTD
2015,Bucks,back spasms (P) (DTD),Jared Dudley,DTD
2015,Bucks,sore right hamstring (DTD),Ovinton Mayo,DTD
2015,Bucks,returned to lineup,Jerryd Bayless,returned to lineup
2015,Bucks,returned to lineup,Michael Carter-Williams,returned to lineup
2015,Clippers,sore right hamstring (DTD),Matt Barnes,DTD
2015,Knicks,sprained left ankle (DTD),Cleanthony Early,DTD
2015,Knicks,sprained right wrist (DTD),Tim Hardaway,DTD
2015,Rockets,hamstring injury (DTD),Jason Terry,DTD
2015,Thunder,arthroscopic surgery on right knee (out indefinitely),Serge Ibaka,out indefinitely
2015,76ers,returned to lineup,Furkan Aldemir,returned to lineup
2015,Hawks,returned to lineup,Al Horford,returned to lineup
2015,Kings,strained right calf (DTD),DeMarcus Cousins,DTD
2015,Kings,returned to lineup,Rudy Gay,returned to lineup
2015,Kings,returned to lineup,Ryan Hollins,returned to lineup
2015,Magic,sprained left ankle (DTD),Dewayne Dedmon,DTD
2015,Magic,sprained left ankle (DTD),Tobias Harris,DTD
2015,Timberwolves,migraine headache (DTD),Justin Hamilton,DTD
2015,Timberwolves,returned to lineup,Ricky Rubio,returned to lineup
2015,Warriors,returned to lineup,Ognjen Kuzmic,returned to lineup
2015,Nuggets,returned to lineup,Danilo Gallinari,returned to lineup
2015,Nuggets,returned to lineup,Kenneth Faried,returned to lineup
2015,Nuggets,returned to lineup,Ty Lawson,returned to lineup
2015,Pelicans,sprained left ankle (DTD),Anthony Davis,DTD
2015,Suns,sprained right big toe (DTD),Marcus Thornton,DTD
2015,Timberwolves,sore right ankle (DTD),Gary Neal,DTD
2015,Timberwolves,sore right ankle (DTD),Ricky Rubio,DTD
2015,76ers,bruised ribs (DTD),Thomas Robinson,DTD
2015,Clippers,returned to lineup,Matt Barnes,returned to lineup
2015,Nuggets,hip injury (DTD),Jameer Nelson,DTD
2015,Pelicans,strained right calf (DTD),Omer Asik,DTD
2015,Rockets,partially collapsed lung (DTD),Terrence Jones,DTD
2015,Thunder,sprained left ankle (DTD),Enes Kanter,DTD
2015,Blazers,strained right shoulder (DTD),Chris Kaman,DTD
2015,Grizzlies,returned to lineup,Jon Leuer,returned to lineup
2015,Lakers,retired (effective at the end of the season),Steve Nash,Other
2015,Mavericks,sprained left ankle (DTD),Jose Barea,DTD
2015,Pistons,illness (DTD),Shawne Williams,DTD
2015,Rockets,returned to lineup,Jason Terry,returned to lineup
2015,Suns,returned to lineup,Alex Len,returned to lineup
2015,Thunder,sprained left ankle (DTD),Nick Collison,DTD
2015,Timberwolves,returned to lineup,Gary Neal,returned to lineup
2015,76ers,returned to lineup,Thomas Robinson,returned to lineup
2015,Magic,illness (DTD),Channing Frye,DTD
2015,Magic,returned to lineup,Willie Green,returned to lineup
2015,Nuggets,stomach flu (DTD),Randy Foye,DTD
2015,Nuggets,returned to lineup,Jameer Nelson,returned to lineup
2015,Pelicans,sprained left ankle (DTD),Tyreke Evans,DTD
2015,Pelicans,returned to lineup,Anthony Davis,returned to lineup
2015,Thunder,returned to lineup,Enes Kanter,returned to lineup
2015,Knicks,fractured rib (out for season),Alexey Shved,out for season
2015,Knicks,sore lower back (out for season),Travis Wear,out for season
2015,Timberwolves,sprained left ankle (out for season),Gary Neal,out for season
2015,Timberwolves,strained left hamstring (DTD),Kevin Martin,DTD
2015,76ers,rest (DTD),Jason Richardson,DTD
2015,Blazers,left finger injury (DTD),LaMarcus Aldridge,DTD
2015,Blazers,lower back injury (DTD),Nicolas Batum,DTD
2015,Bucks,returned to lineup,Ovinton Mayo,returned to lineup
2015,Heat,illness (DTD),Tyler Johnson,DTD
2015,Pistons,returned to lineup,Shawne Williams,returned to lineup
2015,Thunder,sprained left ankle (DTD),Andre Roberson,DTD
2015,76ers,sore left shoulder (DTD),Luc Moute,DTD
2015,76ers,returned to lineup,Jason Richardson,returned to lineup
2015,Blazers,returned to lineup,LaMarcus Aldridge,returned to lineup
2015,Celtics,returned to lineup,Isaiah Thomas,returned to lineup
2015,Heat,bruised left calf (DTD),Chris Andersen,DTD
2015,Heat,hand injury (DTD),Hassan Whiteside,DTD
2015,Heat,returned to lineup,Tyler Johnson,returned to lineup
2015,Knicks,returned to lineup,Cleanthony Early,returned to lineup
2015,Magic,returned to lineup,Channing Frye,returned to lineup
2015,Magic,returned to lineup,Dewayne Dedmon,returned to lineup
2015,Magic,returned to lineup,Tobias Harris,returned to lineup
2015,Nuggets,calf injury (out for season),Darrell Arthur,out for season
2015,Nuggets,returned to lineup,Randy Foye,returned to lineup
2015,Pelicans,returned to lineup,Omer Asik,returned to lineup
2015,Pelicans,returned to lineup,Tyreke Evans,returned to lineup
2015,Timberwolves,returned to lineup,Justin Hamilton,returned to lineup
2015,Wizards,sprained left ankle (DTD),Toure' Murry,DTD
2015,Bucks,returned to lineup,Jared Dudley,returned to lineup
2015,Pacers,allergic reaction / illness (DTD),David West,DTD
2015,Wizards,returned to lineup,Toure' Murry,returned to lineup
2015,76ers,returned to lineup,Luc Moute,returned to lineup
2015,Blazers,returned to lineup,Chris Kaman,returned to lineup
2015,Blazers,returned to lineup,Nicolas Batum,returned to lineup
2015,Hawks,stiff neck (DTD),Pero Antic,DTD
2015,Lakers,illness / upper respiratory infection (DTD),Carlos Boozer,DTD
2015,Magic,sore left ankle (DTD),Dewayne Dedmon,DTD
2015,Nets,strained left knee (DTD),Thaddeus Young,DTD
2015,Rockets,sore lower back (out for season),Donatas Motiejunas,out for season
2015,Clippers,returned to lineup,Nate Robinson,returned to lineup
2015,Bulls,returned to lineup,Cameron Bairstow,returned to lineup
2015,Hawks,rest (DTD),Al Horford,DTD
2015,Hawks,rest (DTD),DeMarre Carroll,DTD
2015,Hawks,rest (DTD),Kyle Korver,DTD
2015,Hawks,rest (DTD),Paul Millsap,DTD
2015,Hawks,returned to lineup,Pero Antic,returned to lineup
2015,Jazz,back spasms (DTD),Derrick Favors,DTD
2015,Mavericks,right calf injury (DTD),Monta Ellis,DTD
2015,Nuggets,shoulder injury (DTD),Danilo Gallinari,DTD
2015,76ers,left knee injury (DTD),Jason Richardson,DTD
2015,Grizzlies,strained left hamstring (DTD),Tony Allen,DTD
2015,Heat,hip injury / sports hernia (out for season),Shabazz Napier,out for season
2015,Lakers,illness / upper respiratory infection (DTD),Jeremy Lin,DTD
2015,Pacers,returned to lineup,David West,returned to lineup
2015,Suns,returned to lineup,Brandon Knight,returned to lineup
2015,76ers,illness / upper respiratory infection (DTD),Jerami Grant,DTD
2015,76ers,sore left shoulder (DTD),Luc Moute,DTD
2015,Bucks,sore back (DTD),Jared Dudley,DTD
2015,Hawks,returned to lineup,Al Horford,returned to lineup
2015,Hawks,returned to lineup,DeMarre Carroll,returned to lineup
2015,Hawks,returned to lineup,Kyle Korver,returned to lineup
2015,Hawks,returned to lineup,Paul Millsap,returned to lineup
2015,Kings,rest (DTD),DeMarcus Cousins,DTD
2015,Rockets,rest / sore right knee (DTD),Dwight Howard,DTD
2015,Timberwolves,concussion (out for season),Gorgui Dieng,out for season
2015,Heat,bruised right knee (DTD),Luol Deng,DTD
2015,Heat,illness (DTD),Udonis Haslem,DTD
2015,Heat,returned to lineup,Chris Andersen,returned to lineup
2015,Nets,returned to lineup,Thaddeus Young,returned to lineup
2015,Rockets,surgery on left wrist to repair torn ligaments (out for season),Patrick Beverley,out for season
2015,Thunder,surgery on right foot to install bone graft (out for season),Kevin Durant,out for season
2015,76ers,returned to lineup,Jason Richardson,returned to lineup
2015,76ers,returned to lineup,Jerami Grant,returned to lineup
2015,76ers,returned to lineup,Luc Moute,returned to lineup
2015,Bucks,returned to lineup,Jared Dudley,returned to lineup
2015,Heat,surgery to repair sports hernia (out for season),Shabazz Napier,out for season
2015,Jazz,concussion (DTD),Rodney Hood,DTD
2015,Jazz,returned to lineup,Derrick Favors,returned to lineup
2015,Kings,concussion (DTD),Rudy Gay,DTD
2015,Kings,returned to lineup,DeMarcus Cousins,returned to lineup
2015,Lakers,returned to lineup,Carlos Boozer,returned to lineup
2015,Lakers,returned to lineup,Jeremy Lin,returned to lineup
2015,Magic,returned to lineup,Dewayne Dedmon,returned to lineup
2015,Nuggets,knee injury (DTD),James Hickson,DTD
2015,Nuggets,returned to lineup,Danilo Gallinari,returned to lineup
2015,Pelicans,returned to lineup,Ryan Anderson,returned to lineup
2015,Pistons,sprained left ankle (out for season),Spencer Dinwiddie,out for season
2015,Lakers,returned to lineup,Steve Nash,returned to lineup
2015,Blazers,fractured left hand (out for season),Dorell Wright,out for season
2015,Heat,returned to lineup,Luol Deng,returned to lineup
2015,Lakers,separated right shoulder (DTD),Wayne Ellington,DTD
2015,Rockets,returned to lineup,Dwight Howard,returned to lineup
2015,Suns,fractured nose (out for season),Alex Len,out for season
2015,76ers,sprained right foot (out for season),Isaiah Canaan,out for season
2015,Knicks,returned to lineup,Tim Hardaway,returned to lineup
2015,Nuggets,returned to lineup,James Hickson,returned to lineup
2015,Timberwolves,sprained right ankle (DTD),Anthony Bennett,DTD
2015,Timberwolves,returned to lineup,Kevin Martin,returned to lineup
2015,76ers,sprained left ankle (DTD),Thomas Robinson,DTD
2015,Heat,returned to lineup,Udonis Haslem,returned to lineup
2015,Hornets,sore right knee (out for season),Al Jefferson,out for season
2015,Jazz,tightness in back (DTD),Trey Burke,DTD
2015,Jazz,returned to lineup,Rodney Hood,returned to lineup
2015,Mavericks,right knee injury (DTD),Chandler Parsons,DTD
2015,Nets,sprained left ankle (DTD),Alan Anderson,DTD
2015,Nuggets,undisclosed (DTD),Danilo Gallinari,DTD
2015,Nuggets,bruised right forearm (P) / hip flexor injury (DTD),Ty Lawson,DTD
2015,Raptors,sprained right ankle (DTD),Amir Johnson,DTD
2015,Suns,sprained left ankle (DTD),Brandon Knight,DTD
2015,76ers,sore left shoulder (DTD),Luc Moute,DTD
2015,Heat,bruised left foot (DTD),Chris Andersen,DTD
2015,Heat,lacerated right hand (DTD),Hassan Whiteside,DTD
2015,Knicks,sprained left ankle (DTD),Cleanthony Early,DTD
2015,Blazers,sprained right thumb (DTD),Chris Kaman,DTD
2015,Blazers,sprained left thumb (DTD),LaMarcus Aldridge,DTD
2015,Blazers,sprained lower back (DTD),Nicolas Batum,DTD
2015,Heat,knee injury / illness (P) (DTD),Michael Beasley,DTD
2015,Heat,returned to lineup,Chris Andersen,returned to lineup
2015,Heat,returned to lineup,Hassan Whiteside,returned to lineup
2015,Suns,returned to lineup,Marcus Thornton,returned to lineup
2015,Thunder,returned to lineup,Andre Roberson,returned to lineup
2015,Suns,fractured nose (out for season),Alex Len,out for season
2015,76ers,returned to lineup,Luc Moute,returned to lineup
2015,76ers,returned to lineup,Thomas Robinson,returned to lineup
2015,Blazers,returned to lineup,Chris Kaman,returned to lineup
2015,Blazers,returned to lineup,LaMarcus Aldridge,returned to lineup
2015,Blazers,returned to lineup,Nicolas Batum,returned to lineup
2015,Bucks,undisclosed (DTD),Giannis Antetokounmpo,DTD
2015,Hawks,"fractured fibula, ligament damage in leg (out for season)",Thabo Sefolosha,out for season
2015,Hornets,sprained right toe (out for season),Lance Stephenson,out for season
2015,Jazz,returned to lineup,Trey Burke,returned to lineup
2015,Kings,back injury (DTD),Nik Stauskas,DTD
2015,Kings,concussion (out for season),Rudy Gay,out for season
2015,Lakers,sore left knee (out for season),Jeremy Lin,out for season
2015,Nuggets,returned to lineup,Danilo Gallinari,returned to lineup
2015,Nuggets,returned to lineup,Ty Lawson,returned to lineup
2015,Timberwolves,surgery on right Achilles (out for season),Nikola Pekovic,out for season
2015,Nuggets,strained right calf (out for season),Darrell Arthur,out for season
2015,Pacers,sore right elbow (DTD),Charles Watson,DTD
2015,Heat,elbow injury (DTD),Henry Walker,DTD
2015,Heat,returned to lineup,Michael Beasley,returned to lineup
2015,Rockets,surgery on back (out for season),Donatas Motiejunas,out for season
2015,76ers,sore/strained left shoulder (out for season),Luc Moute,out for season
2015,76ers,sprained right ankle (out for season),Nerlens Noel,out for season
2015,Blazers,strained right shoulder (out for season),Arron Afflalo,out for season
2015,Blazers,sprained left foot (DTD),LaMarcus Aldridge,DTD
2015,Bucks,returned to lineup,Giannis Antetokounmpo,returned to lineup
2015,Cavaliers,sore right hip / rest (DTD),Kyrie Irving,DTD
2015,Jazz,back injury (DTD),Trey Burke,DTD
2015,Kings,returned to lineup,Nik Stauskas,returned to lineup
2015,Knicks,illness (out for season),Andrea Bargnani,out for season
2015,Suns,sprained left ankle (DTD),Marcus Thornton,DTD
2015,76ers,strained left groin (DTD),Ishmael Smith,DTD
2015,Knicks,returned to lineup,Cleanthony Early,returned to lineup
2015,Timberwolves,back injury (DTD),Robbie Hummel,DTD
2015,Cavaliers,rest (DTD),Earl Smith,DTD
2015,Cavaliers,rest (DTD),LeBron James,DTD
2015,Hawks,rest (DTD),Al Horford,DTD
2015,Hawks,rest (DTD),DeMarre Carroll,DTD
2015,Hawks,rest (DTD),Jeff Teague,DTD
2015,Hawks,rest (DTD),Kyle Korver,DTD
2015,Mavericks,rest (DTD),Amare Stoudemire,DTD
2015,Suns,foot injury / sore left ankle (out for season),Brandan Wright,out for season
2015,Suns,concussion (out for season),Reggie Bullock,out for season
2015,Thunder,sprained left ankle (out for season),Perry Jones,out for season
2015,76ers,sore left knee (out for season),Jason Richardson,out for season
2015,76ers,returned to lineup,Ishmael Smith,returned to lineup
2015,Bulls,sore left knee (DTD),Joakim Noah,DTD
2015,Bulls,sprained left knee (DTD),Kirk Hinrich,DTD
2015,Bulls,returned to lineup,Doug McDermott,returned to lineup
2015,Cavaliers,returned to lineup,Earl Smith,returned to lineup
2015,Cavaliers,returned to lineup,Kyrie Irving,returned to lineup
2015,Cavaliers,returned to lineup,LeBron James,returned to lineup
2015,Hawks,illness (DTD),Pero Antic,DTD
2015,Hawks,returned to lineup,Al Horford,returned to lineup
2015,Hawks,returned to lineup,DeMarre Carroll,returned to lineup
2015,Hawks,returned to lineup,Jeff Teague,returned to lineup
2015,Hawks,returned to lineup,Kyle Korver,returned to lineup
2015,Hornets,sprained right knee (out for season),Samuel Hairston,out for season
2015,Jazz,back spasms (DTD),Derrick Favors,DTD
2015,Jazz,Achilles injury (out for season),Gordon Hayward,out for season
2015,Kings,sprained right thumb (out for season),Reggie Evans,out for season
2015,Lakers,sprained left ankle (out for season),Wesley Johnson,out for season
2015,Magic,right hip injury (out for season),Evan Fournier,out for season
2015,Mavericks,returned to lineup,Amare Stoudemire,returned to lineup
2015,Pelicans,unspecified (DTD),Jrue Holiday,DTD
2015,Pistons,undisclosed (out for season),Tayshaun Prince,out for season
2015,Timberwolves,illness (DTD),Kevin Martin,DTD
2015,Timberwolves,exploratory surgery on left ankle (out for season),Ricky Rubio,out for season
2015,Timberwolves,returned to lineup,Robbie Hummel,returned to lineup
2015,Warriors,returned to lineup,Leandro Barbosa,returned to lineup
2015,Raptors,rest (DTD),DeMar DeRozan,DTD
2015,Suns,stomach virus (out for season),Marcus Morris,out for season
2015,76ers,plantar fasciitis in right foot (out for season),Furkan Aldemir,out for season
2015,Blazers,sprained left ankle (DTD),Christian McCollum,DTD
2015,Blazers,back injury (DTD),Chris Kaman,DTD
2015,Blazers,sprained right knee (DTD),Nicolas Batum,DTD
2015,Blazers,returned to lineup,LaMarcus Aldridge,returned to lineup
2015,Bucks,back spasms (DTD),Jared Dudley,DTD
2015,Bucks,sore neck (DTD),Jerryd Bayless,DTD
2015,Celtics,sore right ankle (DTD),Jae Crowder,DTD
2015,Hawks,returned to lineup,Pero Antic,returned to lineup
2015,Heat,undisclosed (DTD),Chris Andersen,DTD
2015,Heat,undisclosed (DTD),Dwyane Wade,DTD
2015,Heat,undisclosed (DTD),Goran Dragic,DTD
2015,Heat,undisclosed (out for season),Hassan Whiteside,out for season
2015,Heat,undisclosed (DTD),Luol Deng,DTD
2015,Heat,undisclosed (DTD),Mario Chalmers,DTD
2015,Heat,returned to lineup,Henry Walker,returned to lineup
2015,Jazz,returned to lineup,Derrick Favors,returned to lineup
2015,Kings,illness (out for season),Omri Casspi,out for season
2015,Lakers,sprained left ankle (DTD),Jordan Clarkson,DTD
2015,Nuggets,undisclosed (out for season),Kenneth Faried,out for season
2015,Nuggets,undisclosed (out for season),Randy Foye,out for season
2015,Pelicans,returned to lineup,Jrue Holiday,returned to lineup
2015,Raptors,undisclosed (DTD),Louis Williams,DTD
2015,Timberwolves,sprained left ankle (DTD),Chase Budinger,DTD
2015,Timberwolves,returned to lineup,Anthony Bennett,returned to lineup
2015,Timberwolves,returned to lineup,Kevin Martin,returned to lineup
2015,Wizards,rest (DNP),Bradley Beal,DNP
2015,Wizards,rest (DTD),John Wall,DTD
2015,Wizards,rest (DTD),Paul Pierce,DTD
2015,Hawks,surgery on right leg to repair fractured fibula and ligament damage (out for season),Thabo Sefolosha,out for season
2015,Bucks,returned to lineup,Jared Dudley,returned to lineup
2015,Bucks,returned to lineup,Jerryd Bayless,returned to lineup
2015,Mavericks,returned to lineup,Chandler Parsons,returned to lineup
2015,Rockets,fractured right elbow (out for season),Kevin McDaniels,out for season
2015,Suns,arthroscopic surgery on left ankle (out indefinitely),Brandon Knight,out indefinitely
2015,Wizards,returned to lineup,John Wall,returned to lineup
2015,Blazers,returned to lineup,Christian McCollum,returned to lineup
2015,Blazers,returned to lineup,Chris Kaman,returned to lineup
2015,Blazers,returned to lineup,Nicolas Batum,returned to lineup
2015,Celtics,returned to lineup,Jae Crowder,returned to lineup
2015,Nets,undisclosed (out for season),Cory Jefferson,out for season
2015,Nets,illness (out for season),Darius Morris,out for season
2015,Nets,returned to lineup,Alan Anderson,returned to lineup
2015,Pelicans,stress reaction in lower right leg (DTD),Jrue Holiday,DTD
2015,Blazers,left ankle injury (DTD),Chris Kaman,DTD
2015,Hornets,surgery on right shoulder to repair torn tendon (out indefinitely),Cody Zeller,out indefinitely
2015,Mavericks,back injury (out for season),Rajon Rondo,out for season
2015,Pelicans,returned to lineup,Jrue Holiday,returned to lineup
2015,Blazers,returned to lineup,Chris Kaman,returned to lineup
2015,Mavericks,illness (out for season),Bernard James,out for season
2015,Blazers,sprained left ankle (out for season),Chris Kaman,out for season
2015,Cavaliers,separated left shoulder (out for season),Kevin Love,out for season
2015,Mavericks,back injury (out for season),Richard Jefferson,out for season
2015,Cavaliers,surgery on left shoulder to repair separation (out for season),Kevin Love,out for season
2015,Mavericks,arthroscopic surgery on right knee to repair cartilage damage (out for season),Chandler Parsons,out for season
2015,Warriors,ankle injury (out for season),Ognjen Kuzmic,out for season
2015,Clippers,strained hamstring (DTD),Chris Paul,DTD
2015,Pelicans,surgery on lower right leg to remove screw (DTD),Jrue Holiday,DTD
2015,Pelicans,arthroscopic surgery on left knee (out indefinitely),Quincy Pondexter,out indefinitely
2015,Bulls,fined $25K by NBA for pushing fan while walking to locker room,Joakim Noah,Other
2015,Clippers,fined $50K by NBA for using inappropriate language during game,Matt Barnes,Other
2015,Blazers,surgery on left thumb to repair torn ligament (out indefinitely),LaMarcus Aldridge,out indefinitely
2015,Cavaliers,left knee tendinitis (DTD),Kyrie Irving,DTD
2015,Hawks,sprained right ankle (out for season),Kyle Korver,out for season
2015,Raptors,surgery on left ankle to remove bone spurs (out indefinitely),Terrence Ross,out indefinitely
2015,Cavaliers,returned to lineup,Kyrie Irving,returned to lineup
2015,Hawks,surgery on right ankle to repair ligament damage (out indefinitely),Kyle Korver,out indefinitely
2015,Hawks,separated right shoulder (out for season),Shelvin Mack,out for season
2015,Kings,surgery on right wrist to repair torn ligament,Carl Landry,Other
2015,Hawks,surgery to repair separated right shoulder (out for season),Shelvin Mack,out for season
2015,Cavaliers,fractured left kneecap (out for season),Kyrie Irving,out for season
2015,Cavaliers,surgery on left knee to repair fractured kneecap (out indefinitely),Kyrie Irving,out indefinitely
2015,Bulls,surgery on left ankle (out for season),Taj Gibson,out for season
2015,Heat,player declined to exercise contract option,Goran Dragic,Other
2015,Hawks,surgery on right elbow to remove loose bodies (out indefinitely),Kyle Korver,out indefinitely
2015,Cavaliers,arthroscopic surgery on right knee (out indefinitely),Timofey Mozgov,out indefinitely
2015,Heat,fractured jaw (out indefinitely),Tyler Johnson,out indefinitely
2015,76ers,surgery on right foot to undergo bone graft (out for season) (date approximate),Joel Embiid,out for season
2015,Nets,arthroscopic surgery on right knee to remove torn cartilage (out indefinitely),Thomas Robinson,out indefinitely
2015,Wizards,surgery on lower back (out indefinitely),Jared Dudley,out indefinitely
2015,Jazz,torn ACL in left knee (out indefinitely),Dante Exum,out indefinitely
2015,76ers,surgery on right foot to have 2 screws replaced and a bone graft (out for season) (P),Joel Embiid,out for season
2015,Warriors,surgery on right hip to repair torn labrum (out indefinitely),Kevon Looney,out indefinitely
2015,Grizzlies,fractured left foot (surgery) (out indefinitely),Jarell Martin,out indefinitely
2015,Jazz,surgery on left knee to repair torn ACL (out indefinitely),Dante Exum,out indefinitely
2015,Pistons,surgery to repair fractured nose (out indefinitely),Darrun Hilliard,out indefinitely
2015,Bulls,surgery on back (out indefinitely),Mike Dunleavy,out indefinitely
2015,Cavaliers,right wrist injury (surgery) (out indefinitely),Iman Shumpert,out indefinitely
2015,Bulls,surgery to repair fractured left orbital bone (out indefinitely),Derrick Rose,out indefinitely
2015,Warriors,took leave of absence as head coach recovering from surgery on back (out indefinitely),Steve Kerr,out indefinitely
2015,Hornets,surgery on right shoulder to repair torn labrum (out indefinitely),Michael Kidd-Gilchrist,out indefinitely
2015,Pelicans,strained right hamstring (out indefinitely),Alexis Ajinca,out indefinitely
2015,Pelicans,strained right calf (out indefinitely),Omer Asik,out indefinitely
2015,Wizards,surgery on left ankle to remove bone fragment (DTD),Alan Anderson,DTD
2015,Nets,torn ligament in right thumb (surgery) (out indefinitely),Willie Reed,out indefinitely
2015,Pelicans,arthroscopic surgery on right knee (out indefinitely),Tyreke Evans,out indefinitely
2015,76ers,sprained MCL in right knee (DTD),Robert Covington,DTD
2015,Blazers,knee injury (DTD),Cliff Alexander,DTD
2015,Bucks,sore left knee (DTD),Jabari Parker,DTD
2015,Bucks,strained right hamstring (DTD),Ovinton Mayo,DTD
2015,Knicks,strained left hamstring (DTD),Arron Afflalo,DTD
2015,Knicks,sore right knee (DTD),Kevin Seraphin,DTD
2015,Knicks,back injury (DTD),Louis Amundson,DTD
2015,Mavericks,recovering from arthroscopic surgery on right knee to repair cartilage damage (DTD),Chandler Parsons,DTD
2015,Nets,knee injury (DTD),Chris McCullough,DTD
2015,Nets,sore left hamstring (DTD),Jarrett Jack,DTD
2015,Nuggets,bruised knee (DTD),Jusuf Nurkic,DTD
2015,Rockets,recovering from surgery on back (DTD),Donatas Motiejunas,DTD
2015,Timberwolves,recovering from surgery on right Achilles (DTD),Nikola Pekovic,DTD
2015,Wizards,hip injury (out for season),Martell Webster,out for season
2015,Pelicans,recovering from surgery on lower right leg to remove screw / rest (DTD),Jrue Holiday,DTD
2015,Pelicans,sore/strained left hamstring (DTD),Luke Babbitt,DTD
2015,Pelicans,returned to lineup,Alexis Ajinca,returned to lineup
2015,76ers,right knee injury (out indefinitely),Kendall Marshall,out indefinitely
2015,76ers,back spasms (DTD),Nik Stauskas,DTD
2015,Hornets,sprained right ankle (DTD),Jeremy Lamb,DTD
2015,Nets,returned to lineup,Thomas Robinson,returned to lineup
2015,Pacers,sore right ankle (DTD),Myles Turner,DTD
2015,Pelicans,returned to lineup,Jrue Holiday,returned to lineup
2015,Warriors,concussion (DTD),Andrew Bogut,DTD
2015,Mavericks,sprained left knee (DTD),Deron Williams,DTD
2015,Mavericks,rest (DTD),Wesley Matthews,DTD
2015,Pacers,returned to lineup,Myles Turner,returned to lineup
2015,Pistons,fractured right foot (out indefinitely),Jodie Meeks,out indefinitely
2015,76ers,returned to lineup,Nik Stauskas,returned to lineup
2015,Bucks,sore left Achilles (DTD),John Henson,DTD
2015,Hornets,returned to lineup,Jeremy Lamb,returned to lineup
2015,Nets,returned to lineup,Jarrett Jack,returned to lineup
2015,Pistons,surgery on right foot to repair fracture (date approximate),Jodie Meeks,Other
2015,Pacers,shoulder injury (DTD),Glenn Robinson,DTD
2015,Pelicans,returned to lineup,Luke Babbitt,returned to lineup
2015,Pelicans,returned to lineup,Omer Asik,returned to lineup
2015,Mavericks,returned to lineup,Deron Williams,returned to lineup
2015,Mavericks,returned to lineup,Wesley Matthews,returned to lineup
2015,Pelicans,strained right pectoral muscle (DTD),Kendrick Perkins,DTD
2015,Rockets,rest (DTD),Dwight Howard,DTD
2015,Rockets,placed on IL with facial (eyelid) injury,Terrence Jones,Other
2015,76ers,returned to lineup,Robert Covington,returned to lineup
2015,Knicks,returned to lineup,Kevin Seraphin,returned to lineup
2015,Rockets,foot injury (DTD),Chuck Hayes,DTD
2015,Rockets,returned to lineup,Dwight Howard,returned to lineup
2015,76ers,sprained MCL in right knee (DTD),Robert Covington,DTD
2015,Cavaliers,bruised right knee (DTD),Earl Smith,DTD
2015,Hawks,sore right ankle (DTD),Mike Muscala,DTD
2015,Nuggets,strained lower back (DTD),Joffrey Lauvergne,DTD
2015,Nuggets,strained lower back (DTD),Nikola Jokic,DTD
2015,Pacers,sore lower back (DTD),Ian Mahinmi,DTD
2015,Pacers,returned to lineup,Glenn Robinson,returned to lineup
2015,Pelicans,sprained right calf (DTD),Omer Asik,DTD
2015,Lakers,nose injury (DTD),Larry Nance,DTD
2015,Bucks,strained left ankle (DTD),Michael Carter-Williams,DTD
2015,Hawks,returned to lineup,Mike Muscala,returned to lineup
2015,Magic,sprained right knee (DTD),Nikola Vucevic,DTD
2015,Pacers,sore right ankle (DTD),Calvin Miles,DTD
2015,Rockets,concussion (DTD),Patrick Beverley,DTD
2015,Nuggets,returned to lineup,Nikola Jokic,returned to lineup
2015,Hawks,ankle injury (DTD),Mike Muscala,DTD
2015,Lakers,returned to lineup,Larry Nance,returned to lineup
2015,Pacers,returned to lineup,Ian Mahinmi,returned to lineup
2015,Rockets,rest / back injury (DTD),Dwight Howard,DTD
2015,Rockets,returned to lineup,Chuck Hayes,returned to lineup
2015,Wizards,back injury (DTD),Drew Gooden,DTD
2015,Pelicans,sprained left ankle (DTD),Norris Cole,DTD
2015,Clippers,sore right groin (DTD),Chris Paul,DTD
2015,Hawks,returned to lineup,Mike Muscala,returned to lineup
2015,Kings,sore hamstring (DTD),Darren Collison,DTD
2015,Kings,sprained right ankle (DTD),Seth Curry,DTD
2015,Pacers,ankle injury (DTD),Rodney Stuckey,DTD
2015,Pelicans,lower right leg injury (DTD),Jrue Holiday,DTD
2015,Rockets,returned to lineup,Dwight Howard,returned to lineup
2015,Cavaliers,DNP,Anderson Varejao,Other
2015,Knicks,returned to lineup,Louis Amundson,returned to lineup
2015,76ers,sore left wrist (DTD),Nerlens Noel,DTD
2015,Bulls,sore left knee (DTD),Joakim Noah,DTD
2015,Clippers,returned to lineup,Chris Paul,returned to lineup
2015,Grizzlies,sore right knee (DTD),Brandan Wright,DTD
