Year,Team,Notes,Name,Injury Class
2010,Magic,sore left foot (DNP),Jason Williams,DNP
2010,Magic,flu-like symptoms (DNP),Quentin Richardson,DNP
2010,Raptors,sore ankle (DNP),Jose Calderon,DNP
2010,Raptors,back spasms (DNP),Sonny Weems,DNP
2010,Cavaliers,strained left hip flexor (DNP),Maurice Williams,DNP
2010,Celtics,upper respiratory infection (DNP),Semih Erden,DNP
2010,Jazz,flu-like symptoms (DNP),Calvin Miles,DNP
2010,Nuggets,sore left knee (DNP),Kenyon Martin,DNP
2010,Nuggets,sore hamstring (DNP),Nene,DNP
2010,Jazz,flu (DNP),Calvin Miles,DNP
2010,Jazz,strained lower back (DNP),Mehmet Okur,DNP
2010,Magic,sore left foot (DNP),Jason Williams,DNP
2010,Magic,flu-like symptoms (DNP),Quentin Richardson,DNP
2010,Rockets,sprained right ankle (out indefinitely),Chuck Hayes,out indefinitely
2010,Cavaliers,fractured cheekbone (out indefinitely),Anderson Varejao,out indefinitely
2010,Hawks,bruised back (DTD),Marvin Williams,DTD
2010,Nets,bone bruise in right knee (DNP),Jordan Farmar,DNP
2010,Raptors,back spasms (DNP),Sonny Weems,DNP
2010,Warriors,strained lower back (out indefinitely),Brandan Wright,out indefinitely
2010,Celtics,sprained left ankle (DNP),Rajon Rondo,DNP
2011,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2011,Cavaliers,bruised left thigh (DNP),Daniel Gibson,DNP
2011,Cavaliers,strained left hip flexor (DNP),Maurice Williams,DNP
2011,Grizzlies,stomach virus (DNP),Rudy Gay,DNP
2011,Grizzlies,sore right knee (DNP),Xavier Henry,DNP
2011,Jazz,flu-like symptoms (DNP),Calvin Miles,DNP
2011,Mavericks,bruised thigh (DNP),Shawn Marion,DNP
2011,Nets,bone bruise in right knee (DNP),Jordan Farmar,DNP
2011,Blazers,sore left knee (DNP),Brandon Roy,DNP
2011,Knicks,shin injury (DTD),Timofey Mozgov,DTD
2011,Raptors,sprained left ankle (DNP),Jerryd Bayless,DNP
2011,Raptors,back spasms (DNP),Sonny Weems,DNP
2011,76ers,strained back (DNP),Spencer Hawes,DNP
2011,Knicks,sprained left knee (out indefinitely),Danilo Gallinari,out indefinitely
2011,Pistons,groin injury (DTD),Chris Wilcox,DTD
2011,Warriors,returned to lineup,Brandan Wright,returned to lineup
2011,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2011,Grizzlies,bronchitis (DNP),Ovinton Mayo,DNP
2011,Grizzlies,sore right knee (DNP),Xavier Henry,DNP
2011,Mavericks,surgery on right knee to repair torn patella tendon (out for season),Caron Butler,out for season
2011,76ers,rotator cuff injury (DTD),Tony Battie,DTD
2011,Bobcats,surgery to repair ruptured right Achilles tendon (out for season),DeSagana Diop,out for season
2011,Bobcats,hyperextended left knee (DNP),Stephen Jackson,DNP
2011,Bucks,surgery on left foot (out indefinitely),Brandon Jennings,out indefinitely
2011,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2011,Jazz,bruised right hip (DNP),Paul Millsap,DNP
2011,Cavaliers,sprained left ankle (DTD),Daniel Gibson,DTD
2011,Suns,torn ACL and partially torn MCL in right knee (out for season),Gani Lawal,out for season
2011,Bucks,recovering from surgery on left foot (DNP),Brandon Jennings,DNP
